Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--delarc_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BL_pH8_0,-0.2849630341776039,0.14038130904669346,-0.019800666227288866,0.20085845624704077,0.06790987944878311,-0.08033513888635713,-0.10423778425456716,0.007490789866398852,0.061320101827302055,-0.020805613400576555,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BL_pH8_1,-0.27500418878403377,0.15140267216317033,-0.030971013296233568,0.19574860153881748,0.07131901820635665,-0.0995817806393556,-0.10776092864734972,0.015678459063334312,0.05357384314436627,-0.006867284682862786,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BL_pH8_2,-0.28417759339730064,0.16211094406635865,-0.023645932907643535,0.19885780438132902,0.07636878249599884,-0.0953445621179012,-0.13462765844660285,0.006232419470325111,0.06485200878394685,-0.0031137888546547117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BL_pH9_0,-0.26442673198919264,0.13777108752695116,-0.026654051207005973,0.19311355932170277,0.06490814392981323,-0.08360623094050781,-0.10696839986409508,-0.003386462124712442,0.06012927578195281,0.0013728356559801372,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BL_pH9_1,-0.26701819230640383,0.14083777292388608,-0.027899592770263548,0.19205687927649073,0.07740223109195737,-0.09001643592167809,-0.11834826067090033,0.01704065735735322,0.06254351562941853,-0.012610838503941247,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BL_pH9_2,-0.2620887979763843,0.1488484364796592,-0.020395550926661364,0.19467159497268174,0.05464602293973062,-0.0730385138317133,-0.10205266053180982,0.020663569784196815,0.051894763538047,-0.03825248322571101,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BT_pH4_0,-0.026406794677933918,0.039253583367023136,-0.0041829254664480665,-0.0983688631495866,-0.00544262845231139,-0.014921802252369085,-0.013590720164711065,-0.00808290890256024,0.023493045561177574,-0.02741406104446429,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BT_pH4_1,-0.027854438959418443,0.04236837565008064,-0.0032675831145404467,-0.06815059696648107,-0.005034966828382532,-0.017978868482472456,-0.015827692221931138,-0.007409710162521708,0.020650990998939328,-0.05315958334618936,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BT_pH4_2,-0.032317693726686046,0.04271817827313815,-0.005771142031754488,-0.0739155034283581,-0.006667827818056811,-0.01633285983060689,-0.009513732070184274,-0.008801575935567208,0.02671847664872589,-0.051780391485713756,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BT_pH5_0,-0.03560798550510536,0.032453050704106035,-0.006214009161795612,-0.06887008892088804,-0.006959553733468056,-0.027092329748784724,-0.021246877720822458,-0.0016586606423168093,0.025026818028772654,-0.025494436823317534,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BT_pH5_1,-0.040160968563640896,0.03362680871323075,-0.010266774930464833,-0.0753630474780727,-0.005000016737891282,-0.018404882775376673,-0.017864509729425545,-0.009544906379331064,0.023435868380753243,-0.01612164325242781,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BT_pH5_2,-0.028677719598636027,0.029027233221770626,-0.008667226966632446,-0.0809539448826209,-0.005566656595986825,-0.016602422402280825,-0.014027577513504936,-0.01092503791593987,0.028082560842613822,-0.02735327981088472,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BT_pH6_0,-0.05402069894151519,0.047977370792271004,-0.01183476682671386,-0.09415943458838308,-0.009006630425219948,-0.01958715473261216,-0.026097646002941156,-0.013684813289538675,0.02709884026857174,0.01765085700575424,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
