Experiments,BC_OD<--AC_OD,BC_OD<--BA_OD,BC_OD<--BC_OD,BC_OD<--BL_OD,BC_OD<--BT_OD,BC_OD<--BV_OD,BC_OD<--CC_OD,BC_OD<--DF_OD,BC_OD<--delarc_OD,BC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BL_pH9_2,-0.014741731175909871,-0.033784449485980944,-0.10310788976109549,0.011936227896291278,-0.002824090814784817,-0.0029595079807483607,-0.007147267499695653,0.028768576485631258,0.01005588302631741,0.03542766284359539,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BT_pH4_0,-0.005864454391209975,-0.024187188329903977,-0.0332770243578631,-0.011056392401780772,0.0009990027417307312,0.002432029384957708,-0.0018330428231021641,0.022453969874135827,0.006699571735833003,-0.034743060354629283,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BT_pH4_1,-0.007068770297843477,-0.025050668214326322,-0.03070443928565668,-0.013115230565485745,0.001132203107294829,0.00187530316574418,-0.0012144147799066872,0.019241190701723098,0.007223120158457237,-0.030694881923820663,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BT_pH4_2,-0.008227587951266246,-0.022552539199266745,-0.036176357439354705,-0.010904978513717651,0.0010656029245127807,0.0030632965785005817,-0.0016461510956287389,0.015619116508118482,0.008634605759187884,-0.02725159551462402,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BT_pH5_0,-0.01108623282417007,-0.023528782838712566,-0.03464825601195511,-0.008982885705064171,0.0009324025589486828,0.0018122117286143106,0.0011687315352584997,0.015511531128507592,0.01100607940360256,-0.030561386581672276,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BT_pH5_1,-0.009834264131343882,-0.026052144731840362,-0.02912924493460551,-0.013881653501935627,0.000999002741730732,-0.000761864358640235,0.0010101246963376582,0.019431423948186893,0.005284837200913741,-0.025442805746975154,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BT_pH5_2,-0.010904871440776015,-0.01950360510012378,-0.02933865055117917,-0.01417989677871051,0.0010656029245127805,0.0001749972529385413,-0.0007864023939422941,0.015954097906208557,0.006243359346104705,-0.027101219717575155,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BT_pH6_0,-0.009043936504294043,-0.03255260163999122,-0.05061184866758792,-0.01554505235798981,-0.0006558475918743924,0.006683531834379487,-0.001546871713970019,0.018979966365124865,0.010092388835290204,-0.004176317730351635,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BT_pH6_1,-0.007596870309308821,-0.03431157865764006,-0.06783841448471596,-0.01773913159318592,0.0008904116438782727,0.0063423607741361085,0.0006673050914769583,0.021795107174826703,0.010033273410214032,0.009380950166479399,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BT_pH6_2,-0.012044268409195154,-0.036048258429636125,-0.061696200408041475,-0.016081733144819737,0.0011799865572348891,0.005161062260360823,0.0007241222051822622,0.025615850827940132,0.0071067182541541445,0.007706133664950081,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
