Experiments,BT_OD<--AC_OD,BT_OD<--BA_OD,BT_OD<--BC_OD,BT_OD<--BL_OD,BT_OD<--BT_OD,BT_OD<--BV_OD,BT_OD<--CC_OD,BT_OD<--DF_OD,BT_OD<--delarc_OD,BT_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
7comm11delarcaTc_3,0.13679501596716756,0.036107879387336256,-0.015574401381182601,0.13407128272173197,0.24844652703092635,0.011602051846440075,0.02485787236577144,-0.014223649981836586,-0.25692504613133876,0.13412658873095135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_4,0.12601431417542147,0.027163146847008702,-0.0023486011821533654,0.1126244351611999,0.29708257058129206,0.02715013811020586,0.03743325477081311,-0.04442937712144591,-0.3088242704077098,0.1674185096213351,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
8comm11delarcaTc_1,0.14250151873262515,0.004080692680309657,0.007509953648297357,0.11145660581877047,0.20693000738812697,0.0550554177005087,0.05133846000160859,-0.05996870839725371,-0.3428760424920399,0.14670156779091645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_2,0.1282752144012762,0.014966308442551802,0.005828400386659346,0.08496767720086094,0.25992606772413557,0.06381892841511769,0.04293052325308647,-0.07682742314271468,-0.35231047185522535,0.15115424804612193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_3,0.1229956070580722,-0.0004794449666919973,-0.005483369733935792,0.09026590540438242,0.3177687522906648,0.03461609931116033,0.03671304345454857,-0.055651189326713583,-0.3747187255982958,0.15670279497867853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_4,0.185689010602908,-0.018800918176648737,0.006615870593358645,0.0873098928367962,0.17051133746078806,0.03998187801841161,0.06483807928596987,0.0340793903850262,-0.38571775140422987,0.13822268326949005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
delarc_pH4_0,-0.01704876292537412,-0.01704986771082749,0.0056467265372529,-0.019012765644482617,-0.04227375990549185,-0.002615193935394612,0.0011648577714905794,0.027488822867162525,-0.019669287029613295,-0.03139298361928567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0032572508755295392
delarc_pH4_1,-0.017755288172351284,-0.0069713234790074454,0.0037301664234584446,-0.013499776066847794,-0.03725271414034068,-0.0009295276811589378,0.0003908813736684936,0.011188141521592827,-0.01951154632696315,-0.03415122736609825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.004437627208196163
delarc_pH4_2,-0.013557401311624306,-0.014317332966982024,0.0043578708718490355,-0.01818480375830246,-0.038178417097534174,0.0015413927027712697,-0.001613485339583586,0.025495961076053588,-0.0296734625261034,-0.030632535258874945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0011803763326671925
delarc_pH5_0,-0.020098790005659277,-0.01503842941971253,0.006389536191101954,-0.01949374738615006,-0.04481450150153883,-0.002611808132015816,0.0008234385967902516,0.030478325490637313,-0.022814491857653087,-0.027581746018208238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08114687964645667
