Experiments,pH<--AC_OD,pH<--BA_OD,pH<--BC_OD,pH<--BL_OD,pH<--BT_OD,pH<--BV_OD,pH<--CC_OD,pH<--DF_OD,pH<--delarc_OD,pH<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
delarc_pH5_2,0.04181307152156597,-0.06944741558607506,-0.01669039098302955,0.020962763006758426,-0.009748519752174613,-0.0014201533826796915,0.04400604928803186,0.009660546442736754,-0.0670887347958658,-0.21561383722673946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09911694942295314
delarc_pH6_0,0.04892041009972279,-0.08045278109853035,-0.03800705283718265,0.011957842759464099,-0.017535106526768728,-0.003676627219209202,0.04114424119905933,-0.0019329093129414549,-0.14198479329762254,-0.10159569105457351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2884225051673924
delarc_pH6_1,0.05202663983339848,-0.0773191641724628,-0.03099534953741923,0.01750957107252401,-0.017764901467801436,-0.0073975696625268985,0.04351988822059787,0.005801391892297114,-0.16024425624748284,-0.1085025057318094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29127362738877827
delarc_pH6_2,0.05257389453118262,-0.08012989650763894,-0.040597474492438466,0.016692339347918396,-0.01844876206520459,-0.005966268418275791,0.04142998356534086,0.00876914476651861,-0.16404186544372984,-0.09402237029422238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2957269459022493
delarc_pH7_0,0.08551561706173032,-0.09249451426465226,-0.010034554392585299,0.01920029153075554,-0.018495705452464185,0.027720538270862186,0.06652788041645417,0.012918499547016375,-0.2147574160337124,0.2688449914380908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5922068579302491
delarc_pH7_1,0.08438479807227851,-0.10279685193024901,-0.01598995639821109,0.023832754739762648,-0.018915742692416134,0.019753449842657735,0.06902464399600157,0.018772008183371765,-0.20901769408470264,0.21374732173169433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5480973412378645
delarc_pH7_2,0.08018944486813702,-0.09454783087191374,-0.011270808239022028,0.02123645173223771,-0.014781374726444479,0.024405060825950422,0.0655565503401601,0.011037898061230123,-0.21409737964606151,0.2137052302394548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5469120935714209
delarc_pH8_0,0.08729431231060758,-0.11225758558706096,0.004050401380366603,0.015797077967258908,-0.015615244391981673,0.040659815566209345,0.06794567056567125,0.015449634302083569,-0.23420693486847957,0.4646170445410131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8455353071301549
delarc_pH8_1,0.08476396970612848,-0.11151992982091465,-0.0018191881583112795,0.012648519781296674,-0.019811094483441635,0.041300395840536,0.06919340831187108,0.00974644266716813,-0.2271455870827903,0.4723802861036815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8378107178569503
delarc_pH8_2,0.0812454325551896,-0.1080281536151533,-0.0017619043904478094,0.015766612298624666,-0.017363625734072664,0.035593275740418734,0.06202970927338236,0.010836750221965103,-0.22130431339954548,0.4760491413210072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8442380625189879
