Experiments,CC_OD<--AC_OD,CC_OD<--BA_OD,CC_OD<--BC_OD,CC_OD<--BL_OD,CC_OD<--BT_OD,CC_OD<--BV_OD,CC_OD<--CC_OD,CC_OD<--DF_OD,CC_OD<--delarc_OD,CC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
8comm11delarcaTc_1,0.06545793290761219,-0.04898223508189877,-0.02151013448156173,0.02941683217255479,-0.02594664128370704,0.006027100354625398,0.11293737893498947,-0.058907994052607805,-0.0888945551652907,-0.032717073170022815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_2,0.04307650184947187,-0.03724309469461845,-0.016961010297679383,0.03783005076106233,-0.03205258961777081,0.006176242122436754,0.10970397798162276,-0.05384619718999602,-0.07081905271088625,-0.04898421706894979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_3,0.039220476784672505,-0.026986986226756535,-0.014900523516470969,0.028255867283062435,-0.04354969355449807,-0.0005407705359444351,0.11477617174579319,-0.03837905497442041,-0.07224062495232236,-0.048774250918422316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_4,0.052013513487257544,-0.015266176172046236,-0.0172103381198426,0.045785727740832324,-0.03609592334676088,0.004797503013042329,0.09951356854765557,-0.05722820455248912,-0.08585486142891054,-0.053574198034045326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
delarc_pH4_0,-0.007092921779612485,-0.0019462469800213442,0.010143101163431192,-0.00615450542668164,0.007332911724123454,-0.00010012780346543192,-0.033905994556540545,0.01262058089755516,-0.01571117982875718,-0.028305006117823175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0032572508755295392
delarc_pH4_1,-0.00924522690728064,-0.002986011014056758,0.010676247558718465,-0.00610795008256505,0.0056293877477899355,0.0010295651110051119,-0.03294765862059253,0.0074049470891528165,-0.01502067296391191,-0.02155201645395921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.004437627208196163
delarc_pH4_2,-0.008006876736838855,-0.0030319109485160726,0.007248556556827996,-0.0077229435399741595,0.006875658476543007,0.0003992832231375828,-0.032764146556348905,0.012569433103376272,-0.014690151315020477,-0.023996290308929493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0011803763326671925
delarc_pH5_0,-0.007624405274754797,-0.009492121731619474,0.010873078565700385,-0.007785719652133791,0.008308156068112865,-0.0008379551328961622,-0.03484418388749675,0.014813567105144181,-0.01723617519530387,-0.019293629451472633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08114687964645667
delarc_pH5_1,-0.009412157435638264,-0.007583415538639479,0.01617732340672418,-0.007364792822374273,0.008562019044614356,0.00022142841966579815,-0.04265976053176692,0.006664253416896354,-0.01779245073866585,-0.009931835665812959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11230826956373989
delarc_pH5_2,-0.009157436731899078,-0.009128828545850095,0.009298467204764323,-0.006553995220456272,0.007099105107355055,0.003187227270100265,-0.03544263759425477,0.01314761776639068,-0.019677564069810933,-0.015891344051646154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09911694942295314
delarc_pH6_0,-0.015656756238060322,0.0017300405294593914,0.015333724187929991,-0.004798268742413947,0.011935987654951926,0.0016114659317890592,-0.09385133383805741,0.009895127579853263,-0.031296930847304824,0.041977555217403595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2884225051673924
delarc_pH6_1,-0.015016904719599078,-0.0030924445111304524,0.01618330068612957,-0.0079940378359195,0.014751366014470874,0.003439168316494348,-0.09151511837839676,0.012561436490580924,-0.03186672463243746,0.0394305700081927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29127362738877827
delarc_pH6_2,-0.00930077270047901,-0.00612233403341278,0.01596497942602424,-0.011329320075354822,0.010015534632940493,0.005293837740268233,-0.09129694409506475,0.013475783272018734,-0.03572706770242961,0.045906915690587906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2957269459022493
delarc_pH7_0,-0.01333600119181463,0.004390663912762766,0.013104684749395462,-0.016576239760641168,0.011283426305643563,-0.001291652581573504,-0.06823486906587671,0.023084734319304318,-0.02817449269148157,0.012630357138974512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5922068579302491
delarc_pH7_1,-0.01240864841206728,-0.0012651656033552216,0.012899533800740277,-0.012569831227377542,0.011799960692018349,-0.00031428610060728487,-0.08051095247238309,0.0147839766427996,-0.02396307979599046,0.028429104498506563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5480973412378645
