Experiments,BV_OD<--AC_OD,BV_OD<--BA_OD,BV_OD<--BC_OD,BV_OD<--BL_OD,BV_OD<--BT_OD,BV_OD<--BV_OD,BV_OD<--CC_OD,BV_OD<--DF_OD,BV_OD<--delarc_OD,BV_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
delarc_pH9_1,-0.016605001113418005,-0.008426098585857645,-0.009799435853796161,-0.0026297229609411697,0.0019126019782751149,-0.015444314475576187,-0.002618498178401395,0.0347158248503895,-0.01890718224802581,-0.005459783514556678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9964236708955914
delarc_pH9_2,-0.005785927812811796,-0.006166728133659649,-0.004073804920215322,-1.3858035166302398e-05,0.002735783084012244,-0.02463996706692421,-0.0022002398113355687,0.01907702028508419,-0.014782594002823791,-0.007411294376437108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9996501428774356
AC_pH4_0,0.01958283810147448,-0.01297557233529084,-0.004742920693900921,-0.001812964096341445,-0.00011679660366929051,-0.03435247554281807,-3.979911865747207e-06,0.020758521520816114,0.005495536916929741,-0.0350937972628795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.02088836064157278,-0.013237600902338392,-0.007491294034230322,-0.0016748193809357683,-0.0007716314462216015,-0.04014389891663324,0.00015818136946662705,0.027146593083263094,0.0047550143775246705,-0.03289051473140717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.01827731556137618,-0.012993052780790177,-0.0027077217966965995,-0.0014431174804011124,-0.00022390048626972346,-0.028352281610764883,-0.0017644689017501868,0.02363100962146469,0.005180418849720254,-0.04286581094822159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.02267026872131163,-0.015110076292134497,-0.004447777248999995,-0.004935576378003413,0.0021816876737157922,-0.04787138747010866,0.003467414610330825,0.032381828578350993,0.008217979574414053,-0.039815972142893334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,0.022193883181671075,-0.013808134772571855,-0.00894720654023568,-0.003081759002626591,-0.0013044320320224625,-0.035177907976119416,0.003922381670943096,0.031043512856628257,0.00610672650190637,-0.04420867388258163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,0.014184752639140121,-0.01352905257443047,-0.004796202476338849,-0.0028491024932135707,-0.0030957671582860793,-0.04379977566878433,-0.0003240893380311519,0.029470955100031976,0.002128410866969952,-0.02065173883375752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,0.01544194773122992,-0.01943475034209373,-0.0049686089907165455,0.0005135393118404824,0.004796993299184933,-0.08423737320725037,0.0017454537976047263,0.04295284497207436,0.008376687514271747,-0.008448344022845446,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,0.01624438491204511,-0.013973015074253728,-0.009736593392799081,0.0020634819283757507,0.00018119499451764315,-0.08324693314488166,0.0035361194452675783,0.04176876930317477,0.005632641880327592,-0.005731660720446835,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
