Experiments,BA_OD<--AC_OD,BA_OD<--BA_OD,BA_OD<--BC_OD,BA_OD<--BL_OD,BA_OD<--BT_OD,BA_OD<--BV_OD,BA_OD<--CC_OD,BA_OD<--DF_OD,BA_OD<--delarc_OD,BA_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
8comm11delarcaTc_2,0.22693670006954808,0.25066034949020194,-0.02667130176787791,0.061039313491757806,-0.10702431230360399,0.02215739526907387,0.03925406882377423,-0.038428681734949344,-0.6162712025018813,0.10308243064371789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_3,0.1664591483715112,0.294929572277419,-0.029340872221180928,0.06494743426937773,-0.08191372072162185,0.02807534951392722,0.03816960852512199,-0.051740325081121655,-0.5861115430165891,0.07126010756291773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_4,0.23161379013453495,0.27827158558303905,-0.03281025697355684,0.060371079471610155,-0.09310999036888065,0.037361759504546295,0.025736772769495198,-0.10918890746148385,-0.5995263075771863,0.11601523439764323,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
delarc_pH4_0,-0.030319775590754074,-0.059095918233303936,0.008744052706853203,-0.013651336161014826,0.01653213261910107,-0.00788359256623232,-0.0015857634555710386,0.018017006434662183,-0.02656888217138855,-0.060048505821791685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0032572508755295392
delarc_pH4_1,-0.03992273988040246,-0.06594591027206702,0.005827795168303924,-0.011608648145490367,0.02555766622738346,-0.006856713431036992,-0.002415013505226892,0.018751351709437116,-0.03930520622059702,-0.039943163478342085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.004437627208196163
delarc_pH4_2,-0.036138007835201595,-0.05558220514055828,0.007866585821561191,-0.017100872988610162,0.021400487086047297,-0.00634047709810345,-0.003733184071176727,0.01526083776889288,-0.03811866460125084,-0.043375075113676165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0011803763326671925
delarc_pH5_0,-0.03148231154145753,-0.07521185284237501,0.011996652102502791,-0.013953672653145116,0.015691241264019322,-0.005230458694631638,-0.002155535955629918,0.014888844062452732,-0.045256661158864925,-0.02514682087804312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08114687964645667
delarc_pH5_1,-0.02811813564890105,-0.09573710545735514,0.010807907524640144,-0.013874723588966803,0.0219172793958822,-0.008250963013295247,0.0006982378645435622,0.01852949040820417,-0.05379824425944167,-0.008034325069545404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11230826956373989
delarc_pH5_2,-0.03525283321171351,-0.07523895897052209,0.012307238388482643,-0.013918195731290007,0.02059626171041442,-0.005342046642756979,-0.005216925659257432,0.01919689501838192,-0.04323436823633054,-0.029757646126267696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09911694942295314
delarc_pH6_0,-0.05656878076088817,-0.11647595901123209,0.012457576387602346,-0.02324520410079023,0.019373265281319618,-0.009104832399474539,-0.005400108216411395,0.03497536978805843,-0.0488540320487126,0.03698212299171997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2884225051673924
delarc_pH6_1,-0.059557871061336726,-0.12354444506294701,0.017951318882405757,-0.028024012309539572,0.026647448122663345,-0.004618561265423247,-0.008587077922471192,0.02962336495761637,-0.051964991075675114,0.04621424462646245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29127362738877827
delarc_pH6_2,-0.04975794056187505,-0.12024583047093904,0.013403411827495566,-0.029044710947605575,0.01979107930527433,0.0026798975896900126,-0.0040036306902766225,0.024198988075975487,-0.05689243252267656,0.04401059189406426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2957269459022493
delarc_pH7_0,-0.06717372574236082,-0.09220618362659992,0.01027004954445621,-0.021775760929221694,0.02852484701768212,-0.006178849289274733,-0.0052088893245419736,0.025026881111704785,-0.051682474595373104,0.02454352637266983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5922068579302491
delarc_pH7_1,-0.056957824903175885,-0.09672458344503589,0.007887202536930206,-0.020057796575938876,0.02357489007727608,-0.004920333273222913,-0.005152287062095558,0.02058257633658207,-0.05370803421363234,0.029615613976088556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5480973412378645
delarc_pH7_2,-0.05529904688748976,-0.0910190649419699,0.010046772746288258,-0.026533347493766447,0.025430337518615564,-0.012768885822075865,-0.009461551938691864,0.02677113387976652,-0.06755715252669608,0.04453022917408658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5469120935714209
delarc_pH8_0,-0.06212802153080701,-0.0686758100071355,0.009103647596810175,-0.013782023409300527,0.02527532802327819,-0.006646167137862547,-0.010463887802932576,0.015333045220569424,-0.05738729829859474,0.013510605645892411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8455353071301549
delarc_pH8_1,-0.04361531244347925,-0.07213569869732728,0.006121962434085815,-0.014882595906762974,0.02753545451099458,-0.011832766292373773,-0.006589436357759912,0.02742180577924718,-0.07803336711843378,0.01014937463095007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8378107178569503
delarc_pH8_2,-0.05306726337208049,-0.09338019736840027,0.010607388182340756,-0.024079020401543895,0.020396488392320663,-0.00868193998446931,-0.005795673942598313,0.03265201578078711,-0.06367061770318645,0.02915823873213452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8442380625189879
delarc_pH9_0,-0.04004191157691505,-0.06851251967170315,0.01014988200739026,-0.015769250322457243,0.017348403428559714,-0.0101425313560859,-0.006883783895198417,0.0171288071013987,-0.07767476788357548,0.018537092707727267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.003926186226973
delarc_pH9_1,-0.055279608126729725,-0.08098965317739741,0.005243036567193009,-0.02131511157702493,0.028694957587058128,-0.00883062999371601,-0.0029050558854056448,0.018609742947408688,-0.05993165392833558,0.020843396126090187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9964236708955914
