Experiments,AC_OD<--AC_OD,AC_OD<--BA_OD,AC_OD<--BC_OD,AC_OD<--BL_OD,AC_OD<--BT_OD,AC_OD<--BV_OD,AC_OD<--CC_OD,AC_OD<--DF_OD,AC_OD<--delarc_OD,AC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
7comm11delarcaTc_3,0.07664341511771731,0.04491179255363735,-0.03694357955747325,0.02206257621069317,-0.00819965584608524,-0.038803589214449354,-0.03044342299842316,-0.01179336275095525,-0.04850797164375368,0.017303510049115064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
7comm11delarcaTc_4,0.09979476028648405,0.07740022864516663,-0.03657616183161736,0.028563931330066655,-0.017596820814777977,-0.03670630222915308,-0.026086834492566796,-0.029721887084129053,-0.09118565198034047,0.018344450090890346,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5477367110758552
8comm11delarcaTc_1,0.14887434411955916,0.027377851260421075,-0.042875450076940276,0.019610647546208428,-0.016376255894808667,-0.04248554789825627,-0.021619233795158243,-0.030389828874689082,-0.13184097737559802,0.07561834289003973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_2,0.13309188270050545,0.037603756124558664,-0.035403687080935296,0.03374059728144304,-0.03432687340871147,-0.034941476272500084,-0.025503428737106534,-0.030881570925855112,-0.16600616825987463,0.10852086047925381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_3,0.13083359906854836,0.021651398482853957,-0.030916871145043687,0.02322172410462214,-0.017138861667202864,-0.028194553173430587,-0.02493304437107366,-0.03640734735390415,-0.1338524788747663,0.08163032683017461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
8comm11delarcaTc_4,0.1524371358250146,0.040651668945084436,-0.03265332073621128,0.02145894644053086,-0.00978808295143687,-0.0477844394824427,-0.03498705438297728,-0.03692806176193382,-0.14936748378464706,0.08285458378979693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8453285927693228
delarc_pH4_0,-0.02877409836682289,-0.00956714042826839,0.006725342835745086,-0.00352338901842418,0.0001359705513586165,0.006858804750701655,0.003362226084522579,0.0035650843576244683,-0.010487153462093808,-0.02431928223079961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0032572508755295392
delarc_pH4_1,-0.02479993133441262,-0.008551282793607402,0.007507332142280495,-0.004962257242397123,0.0017925227724987526,0.006356940965937531,0.004914106179190718,0.006276373459917047,-0.017959495739120503,-0.026597942662951745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.004437627208196163
delarc_pH4_2,-0.024021479113270416,-0.011575456023540187,0.006740686619735281,-0.003541067198890707,0.0006925948061372916,0.005037666055495324,0.006109774616425452,0.005212906346372936,-0.01712399837925382,-0.023555264832532924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0011803763326671925
delarc_pH5_0,-0.03211848076432944,-0.014178320506344672,0.007723986114496771,-0.002419063709676265,3.273427162481359e-05,0.007691011132429475,0.0074804560645766885,0.006999472920661387,-0.018487626955561016,-0.018747805467118385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08114687964645667
delarc_pH5_1,-0.035126297731438404,-0.011288522673041923,0.006909540059125941,-0.003986492513314538,0.00040290250888337187,0.007306437740183395,0.004807936058420201,0.005970816955618236,-0.023506109516905703,-0.0075138455062456755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11230826956373989
delarc_pH5_2,-0.02952416979910239,-0.016964230717200303,0.006832531842848527,-0.0010951941039251247,5.02157778195711e-05,0.008377717733383177,0.005190416059416274,0.0063422808294063045,-0.02196196897036355,-0.013271231983342896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09911694942295314
delarc_pH6_0,-0.03963496412272039,-0.014987559329880318,0.00744457599423502,-0.0032606283348539608,-0.00041274096330870747,0.006770143719471018,0.006388132946322792,0.0076718419612101865,-0.023468166993040104,-0.0025342699642414636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2884225051673924
