Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--delarc_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BL_pH8_1,-0.0839207125066415,0.04731561528599781,-0.005863251216385676,0.012250772552645723,0.034832719472115456,-0.01774394332552734,-0.016704454311858054,-0.16096357453452506,0.028833625507743463,0.03831069243019041,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BL_pH8_2,-0.09000226011094842,0.048617663328414384,-0.0068660278067640655,0.012214626695798791,0.03272476596028908,-0.02171235222207463,-0.02651686878631944,-0.16166243466184196,0.04429736427638842,0.04525301129759653,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BL_pH9_0,-0.07845974101320555,0.03687273356577626,-0.0055967480899847075,0.011425231844186782,0.03378255421214778,-0.014655024885483411,-0.019764011644798775,-0.15321752958323642,0.03250141661452211,0.033458612658407376,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BL_pH9_1,-0.07419099515384955,0.03813996200976164,-0.0052055209437790115,0.011292609125375748,0.03151393266637688,-0.016203808050764646,-0.01775918514994175,-0.14403523729223272,0.0344442380592227,0.018351491495319033,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BL_pH9_2,-0.0737060968917997,0.04966723828212074,-0.008667561892905962,0.011674309567264885,0.03127599908119959,-0.019355891452211404,-0.020934383344391114,-0.1694316111278275,0.036557041748386365,0.03926844508913548,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BT_pH4_0,-0.022171676769528702,0.013232266214554724,0.0016782806441187855,-0.026031147463490136,-0.0003338568495667507,-0.017132490704888884,-0.01034844339865705,-0.05530733864754439,0.027124609610308773,-0.034362711567917585,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BT_pH4_1,-0.021192291892417097,0.0027812194062963786,0.0031312187372342397,-0.019273410849273205,-0.00046226333016934735,-0.009586794640382996,-0.007705494978505632,-0.058673801106279316,0.017387860908132536,-0.03005874984614227,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BT_pH4_2,-0.028832520390658277,0.012839172239536822,0.0001595929750929696,-0.025498965904116627,-0.0003852194418077903,-0.008026628591444183,-0.009656956020904625,-0.0539176671012588,0.016184002931999127,-0.026517316295724846,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BT_pH5_0,-0.028561302005596787,0.0009533011249226075,0.00715003550214612,-0.02374871129251045,-0.0007535708987194569,-0.008289943891374961,-0.004082952264858327,-0.06073772706577311,0.01660740026637264,-0.02218903689766707,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BT_pH5_1,-0.023108100785833335,0.009154008808343305,0.004085056266706923,-0.017222339614577916,-0.00022874302190283228,-0.004717719788136691,-0.008204325627049676,-0.06609709821317507,0.019752234607611018,-0.03706547897633004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
