Experiments,delarc_OD<--AC_OD,delarc_OD<--BA_OD,delarc_OD<--BC_OD,delarc_OD<--BL_OD,delarc_OD<--BT_OD,delarc_OD<--BV_OD,delarc_OD<--CC_OD,delarc_OD<--DF_OD,delarc_OD<--delarc_OD,delarc_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BA_pH5_1,-0.0018011254687672063,0.00483147178898039,0.0010113754641750585,-0.0014811067574697996,0.0007033050610967304,-8.290487786998312e-06,0.006577227459005688,0.008216308637157731,-0.07085101150462161,-0.047970417077936554,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,-0.0009992959965830254,0.006782916862031687,0.002300374627761219,-0.0033602030964001374,0.00024228556000667923,0.0010016944680524907,0.006800247414604477,0.008227605285203972,-0.07287594951041368,-0.04889193850043028,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,-0.0012575900457475488,0.007431999524326427,0.004126776965415996,-0.0011949308443328607,-0.00040460069542345913,0.0003176768642404797,0.0053681136343790145,0.006348810655915219,-0.08902270258282839,-0.03248581636211146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,-0.001060015053852744,0.0077914191426142415,0.002883926072846288,-0.0035757983281560555,-5.0451836508253184e-05,0.0011768159756193983,0.005428466644624005,0.007183288552838821,-0.09663817664365408,-0.023911737412538218,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,-0.0025640538723572435,0.007308591790497301,-0.00035418885233609603,-0.0018362281309521713,0.0009475740498822665,0.002078218155581019,0.006146366625376369,0.009135295466884323,-0.1000649678124034,-0.02156887030633895,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,0.0009640355570160814,0.0086933045818106,0.002047084210359532,-0.00602689504299475,0.001219044314778371,0.0018342335716537792,0.006670720674421477,0.010460789271670838,-0.14088260187403015,0.014248021829711353,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,0.0017168393925480236,0.008716853795492129,0.0030473281669875845,-0.005737211892138355,0.00011271117174106997,0.0004790863913038492,0.005279901614007742,0.009738576609803281,-0.13911786213355218,0.014991513978204,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,3.371541914732613e-05,0.00864531962443953,0.0035107880150494373,-0.006246557770215948,0.0005865666820951123,0.0007368460006040065,0.006072943657636643,0.009532177386724433,-0.13840288293912356,0.014758821037476475,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,0.0016160625672858695,0.009328165263261485,0.0016393981485263143,-0.005571293736929482,0.0003969473877678747,0.002629370721785919,0.007640836115764536,0.010913743632643119,-0.15245214044237915,0.023086647456106935,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,0.0005759035601564061,0.00923206637572983,0.0019320077578658655,-0.005322819857493688,0.0004424141800921896,0.0013037045397188362,0.0075324312921451475,0.009743151535158567,-0.15069608812584823,0.024484965856308515,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,0.0005119244041650209,0.009831320274135346,0.0019977111822885017,-0.005950822814003281,-0.0004147285773702308,0.002466796656017717,0.007698455673197044,0.009593757284076316,-0.15116537467131144,0.024658697702638486,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,-0.0005282274406889212,0.009333226468576037,0.002637132104972133,-0.004998896024797273,0.0005720419598662329,0.0018527282320934789,0.00744433110822802,0.008538711375516395,-0.15431402892036275,0.028690718240712,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,0.0004686436348635239,0.01040284606749597,0.003505176318728406,-0.006673316236423409,0.0007674193220294036,0.0029448973679024244,0.007510961838390516,0.008694829160104629,-0.15633725727543885,0.0279435369161808,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,-0.0003960271795158821,0.009400893704074879,0.0056856856754292605,-0.0053659803128760794,0.0002712615611760507,0.0026352334670398563,0.006437480365452559,0.00910519840924636,-0.1566355415190691,0.02808953294287558,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
BC_pH4_0,0.0013051727802857107,-0.01409498861626438,0.000992848850462748,-0.0020959591088087664,0.00023414610520653106,0.0023859165576489067,0.004411698576548827,0.008175731997774993,-0.05939114783607098,-0.04269568229661038,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BC_pH4_1,0.0020661501035742144,-0.010339335610523174,0.0010066512283747615,-0.0032756513357162483,0.0003092865095190375,0.002399943914750348,0.004339987968459078,0.006096175018212067,-0.060656630954826644,-0.042718839621090375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,0.0013240994261982662,-0.011464215973797053,0.0010615572130874445,-0.0014856563054996986,8.349795056425986e-05,0.0014148243970197184,0.0026002549671608464,0.009283863960400868,-0.06069442425328102,-0.042896064089854115,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,0.0024324133668256844,-0.01672971820053847,0.0009584482370511339,-0.0014203140107185946,9.642566351786867e-05,0.0020513041641401202,0.006465709737461548,0.008804024266807925,-0.06019988172404147,-0.043230674396390494,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,0.001250038215809542,-0.014735763597747554,0.0011347729842300005,-0.0017178202809199044,-0.00019290471206540643,0.003456882257824359,0.005474651935307877,0.006270986160506374,-0.06052562932605328,-0.04118747657164932,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,0.001505512102790502,-0.015636678785085678,0.0011205057751225384,-0.00439506926290367,0.0008676734987808306,0.00161777925880059,0.006953499414350674,0.009151620796841122,-0.06257430954633848,-0.039382796132046254,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,0.0015547400421422467,-0.01831665818458018,0.0020531751555593115,-0.0029055904629437814,0.0003364334287850754,0.0029669673514107014,0.007481153853561568,0.010166354292760721,-0.07779370946890633,-0.026315128676917245,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,0.0029020468890666963,-0.017396065106858375,0.002663474032736344,-0.003652294602083124,0.00012201530453951325,0.0014999246370533234,0.007286013999710915,0.010656342917810315,-0.08701550203496992,-0.01783821896204482,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,0.00264189478819785,-0.019072983922517817,0.0029281823191305858,-0.0024809136889551,-0.0004563625513211539,0.002859666123986244,0.005705613293077635,0.009849288534858952,-0.08157139039233975,-0.021175257105218327,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,0.002567313294047896,-0.019657768331792044,0.0005233165589363677,-0.004260431136126104,1.717537641525224e-05,0.0019221793212320496,0.008709706887602805,0.009707201706326525,-0.11321184922981527,0.012910892773905525,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,0.0029879109626230996,-0.020285188989794773,0.00024050914884909293,-0.005035042510084485,0.0007657726594935283,0.00288824127096197,0.00821646162349245,0.01238760078406852,-0.11629775772762041,0.013359230034377265,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BC_pH7_2,0.002594928929339285,-0.01904956804021545,0.00033269572517146366,-0.004047984704375269,0.000326558636582416,0.0019721047296796155,0.007384327675175409,0.011000422961685968,-0.11450355034807454,0.013217801594215895,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BC_pH8_0,0.004788612347582113,-0.018068691945594285,-0.00019647800566061652,-0.005266918698730676,-0.00031928715174612887,0.00243750214252783,0.007929731004911919,0.00922729740972104,-0.12228488500189524,0.02098085522003796,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BC_pH8_1,0.0024641183213047375,-0.02037347563906856,-0.0003810466388645388,-0.004237085823779521,-0.0003761514503022909,0.0033802891749402744,0.009038898099375808,0.011507598054797752,-0.12189179347909014,0.020096386190017922,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BC_pH8_2,0.0049769732258889985,-0.020686141301108442,-0.0016833567538339174,-0.0047323403151138975,-0.00022451344715512407,0.0037882122170665986,0.0077407594154710385,0.008583652817684669,-0.12067117063247633,0.022135661644456177,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BC_pH9_0,0.0037628077877604445,-0.020001862324450326,-0.0012594917238406514,-0.004028779695863309,-5.310961733693716e-05,0.003465939795841342,0.007635259706041086,0.008146777554698613,-0.12317583271990651,0.024736028749333772,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BC_pH9_1,0.0038168900427611,-0.018770761133536044,4.6673541807610345e-05,-0.005161223719301431,0.00024052383783070854,0.003059207511984784,0.0070772200790436375,0.008790989560277561,-0.122501113233359,0.02262933065547891,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BC_pH9_2,0.004290209140466608,-0.01944208137691021,-0.0010314477623804767,-0.005307848213807398,0.0003828398462222956,0.0035034628795540847,0.006643974418225497,0.009037366195217422,-0.12345907408582127,0.024610336316020595,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BL_pH4_0,0.001386530537806129,-0.01715296119775461,0.002784170699508293,0.0013015677196824037,-0.0003129860912652128,0.003297349911021148,0.005678893204616464,0.006128901385742683,-0.0599875747250474,-0.043896154349912765,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BL_pH4_1,0.0012265492619379704,-0.011025357673997465,0.0011985363357740904,0.0011200070259687698,4.1500854751337627e-05,0.0005326831891484887,0.005091509164675422,0.007304541219187819,-0.06289726914028111,-0.04336496312333189,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BL_pH4_2,-0.0004061547861151071,-0.011999188428339752,0.0022226128111714903,0.0010592201481694765,0.0005214683031258368,0.0015946791515402173,0.004137576789311742,0.007187431746202964,-0.06000991784441083,-0.04507999077682262,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BL_pH5_0,0.00044165997401527805,-0.016626746366205425,0.0030388576828915136,0.0004001623805126422,-0.0002086819870316473,0.002832764743462852,0.0062825423381898705,0.00530117742393328,-0.059961399478918834,-0.0422725995970161,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BL_pH5_1,0.0014941287980131488,-0.017517614351666492,0.0036716000509002932,0.001049023132933223,-0.00034260925391446027,0.0010051613657370846,0.006196941911526349,0.0076385723345953485,-0.06032851021493907,-0.04363895666907015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
