Experiments,parc-_OD<--AC_OD,parc-_OD<--BA_OD,parc-_OD<--BC_OD,parc-_OD<--BL_OD,parc-_OD<--BT_OD,parc-_OD<--BV_OD,parc-_OD<--CC_OD,parc-_OD<--DF_OD,parc-_OD<--parc-_OD,parc-_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
7comm11parcaTc_3,-0.02774085729099487,0.1907191915996373,-0.042399795281336375,0.03607022578625576,0.01748167867893757,-0.04684661652325938,-0.08476085153934747,-0.07341745662219494,0.5934946696363064,0.15196367960180285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_4,-0.05773090123887295,0.2114827403223708,-0.0368857252743581,0.040062885742796504,0.00825988825086665,-0.03578252452628119,-0.0887047556237034,-0.0847208012640476,0.608405789864128,0.1501772717929081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
8comm11parcaTc_1,-0.013057192983510699,0.16210181213510427,-0.026859190092300606,0.03456325335023196,0.010078671066819322,-0.02483751762415404,-0.07429199545765698,-0.07389035729853355,0.6533495561746152,0.2120906070611723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_2,-0.045551217708574725,0.16220051590191284,-0.020259816075634696,0.03583545857068637,0.010983507815424516,-0.041975230662071164,-0.06997840508575673,-0.051797003071431244,0.6550343455268963,0.22475549112033585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_3,-0.04205335419625046,0.1575825048578174,-0.017829404625555757,0.03676784994485587,0.009425069633061488,-0.03141677033642064,-0.0708837996520426,-0.04280505013935591,0.6285678538493812,0.23189274699629656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_4,-0.04169294608513945,0.17151057298740618,-0.02307168190974905,0.042743141883579285,0.017235465655508243,-0.04915705268635699,-0.06953024109987464,-0.0514436969047655,0.6353687702548568,0.2272853142363222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
parc-_pH4_0,-0.016569472786201075,-0.033225542400842134,0.00894323290447178,0.002691758225631451,-0.00029105182494158083,-0.004925151591229698,0.011965350853684154,0.009634819949936615,0.21088538596244613,-0.2579653385378744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0032572508755295392
parc-_pH4_1,-0.0038681617946080536,-0.03803691701315668,0.005584468154803563,0.0006381158206773821,-0.0005027209133233691,-0.005174931968035907,0.0068032219147552645,0.011978743977682746,0.22044932077031415,-0.26656507571430316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.004437627208196163
parc-_pH4_2,-0.0037210375912811425,-0.03647690563017259,0.004881720414142245,0.0006414282678262043,-0.0026790072922797297,-0.002047228660110547,0.013945813649536478,0.0027368442204011544,0.21691427487475068,-0.263008169968329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0011803763326671925
parc-_pH5_0,-0.008702782577146654,-0.057496619830312914,0.01036846855817282,0.004636241119840873,-0.000854835791270368,-0.02070153961525015,0.008456477548765102,0.0037368404913855624,0.25326668042041683,-0.20910843480216415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08114687964645667
