Experiments,BT_OD<--AC_OD,BT_OD<--BA_OD,BT_OD<--BC_OD,BT_OD<--BL_OD,BT_OD<--BT_OD,BT_OD<--BV_OD,BT_OD<--CC_OD,BT_OD<--DF_OD,BT_OD<--parc-_OD,BT_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
7comm11parcaTc_3,0.2144512457279084,0.03819391196877087,0.0032938892576519553,0.14931556925015604,0.3659146384740978,0.03970466127274964,0.06185321715761624,-0.19467802488569014,-0.15498354437781253,0.23828181043732913,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_4,0.2302238952830109,0.0231143725608759,0.05215477431739639,0.13440034687822763,0.3353437434531668,0.059995740347987284,0.036968107128758795,-0.15667831874776472,-0.18186091680990774,0.22768562987102597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
8comm11parcaTc_1,0.23136363304402352,-0.04494059593862166,0.02200094386894743,0.13996488497309062,0.3056686651939527,0.04494615410191371,0.05032604758202543,-0.12006209638820071,-0.2335318676924901,0.22793345917583158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_2,0.2904185480723644,-0.04817435059817912,-0.009627071212086334,0.14880266534043066,0.33537641531119694,0.035681258426857716,0.057848419292789444,-0.1463590566465712,-0.23507808243369926,0.19478048236736942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_3,0.2697854768243902,-0.0044665145764694195,0.003316544061526653,0.148683966703551,0.27420079203201053,0.04476509827675056,0.06000381132830745,-0.14342579147211557,-0.23856603018109407,0.20937187492361534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_4,0.2582317969816454,-0.026299127250423902,0.004146421350457743,0.11382018887620093,0.3155310265865664,0.03892442516982557,0.05290746181231478,-0.08618542148873373,-0.26006428474033977,0.21265674062295936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
parc-_pH4_0,-0.020588176764304873,-0.011948896276197676,0.0022485342506400273,-0.02057884051950406,-0.047905208215360415,-0.0019131671309309177,-0.005214738630203773,0.0292566975467312,-0.016213218066638904,-0.04242005992579557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0032572508755295392
parc-_pH4_1,-0.023725522516457286,-0.012927028812953958,0.004262858738960781,-0.019410893353431127,-0.04571281651844797,-0.001883129327679458,-0.003620858939526521,0.024378385758027435,-0.014210348091209713,-0.04242771933827062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.004437627208196163
parc-_pH4_2,-0.029002432019409278,-0.013448979364627085,0.0064918599881069825,-0.020926038196067448,-0.03780026267343404,-0.0031436632170706337,-0.0019975759147706877,0.029814449144000915,-0.016559695090653134,-0.04870473407310149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0011803763326671925
parc-_pH5_0,-0.03106954204323499,-0.012732127245475091,0.0003878053777810644,-0.021997007880278897,-0.05628924323002931,-0.0008250498536812216,0.00035975662141066666,0.048098958797104976,-0.019586587111749078,-0.04162403554129212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08114687964645667
