Experiments,CC_OD<--AC_OD,CC_OD<--BA_OD,CC_OD<--BC_OD,CC_OD<--BL_OD,CC_OD<--BT_OD,CC_OD<--BV_OD,CC_OD<--CC_OD,CC_OD<--DF_OD,CC_OD<--parc-_OD,CC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
AC_pH5_1,0.01250617809593677,-0.003114975386744608,0.012347733636244966,-0.004487320023750805,0.010307208761755057,-0.0002638677406408217,-0.07092777925351149,0.022423334681003798,0.006189867903114013,-0.0501512940262404,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,0.017618040651406926,-0.00889163539350114,0.010891742977597145,-0.011832319049913761,0.019283464656960545,-0.001942370824981482,-0.05367319946238042,0.020271778666799,0.007654991264900435,-0.06455140697253545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,0.0072016596907506815,-0.012573407089398445,0.011591406528250841,-0.009548160693527239,0.016722483210893268,-0.0007032714411616319,-0.11464501842117424,0.028080503226197116,0.01016670609915467,-0.0014638144433822323,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,0.010328721715056376,-0.007260919627935994,0.013340972552136718,-0.01108067827410591,0.017555861837210376,1.1370378931093608e-05,-0.14088465881260598,0.022998624928599304,0.009156621937822226,0.020663169383618007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,0.008923201271049352,-0.006106458982634967,0.013209857224871445,-0.013302323436769459,0.016241655299217318,-0.0007179273996988053,-0.13635805514266547,0.03462751009916563,0.008398135287039308,0.009913491983796752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,0.024470555077752337,-0.004104175018551558,0.017783244258987353,-0.00853680145693943,0.02033787737215828,0.00022966101603663424,-0.21892615273169694,0.04827860237716739,0.008044933600594165,0.04725133940466154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,0.025022607078046894,0.00131996261705037,0.017572232866963456,-0.01811833074508721,0.027357569443588345,-0.00025921017559164393,-0.21429801563378023,0.044376882017468616,0.006626321593218526,0.04522906487068647,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,0.02782129870484705,-0.00253143976179316,0.017534064831131176,-0.015072115069133753,0.023869351896497873,-0.0016729550437151412,-0.20408352067926896,0.03991714431701795,0.008283120604414168,0.04076413629323486,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,0.03243995785713195,0.009669746403460916,0.013906376307890952,-0.021289334532541587,0.03353063665715086,-0.00017762624051259883,-0.22593646546947238,0.042739618896891415,0.012270179298584876,0.03767599690492953,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,0.035898367550386036,0.01732685152987909,0.015304601751470371,-0.019990520233025205,0.03113934073333993,0.001503719939425104,-0.23433565375283766,0.04320240906485275,0.012850844457684812,0.03192912516219582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,0.03013492236642733,0.009432426979765294,0.013395031618116343,-0.019545771984849122,0.021206239760529412,-0.0034003179940476046,-0.21412572198648652,0.039325356271482356,0.010712942242136468,0.04769397863551326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
