Experiments,BC_OD<--AC_OD,BC_OD<--BA_OD,BC_OD<--BC_OD,BC_OD<--BL_OD,BC_OD<--BT_OD,BC_OD<--BV_OD,BC_OD<--CC_OD,BC_OD<--DF_OD,BC_OD<--parc-_OD,BC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BC_pH8_0,-0.06342262909464214,-0.049360212008266346,0.14859392686220615,-0.06279495087978634,-0.000534028193872907,0.024186220258150405,-0.022637060730029718,0.07286627345758935,-0.00796931968596966,0.10586779710553262,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BC_pH8_1,-0.048748120616959476,-0.049502897884534755,0.14758072946544581,-0.06595248177809558,-0.003241049742893034,0.020868461021910537,-0.017166111762432944,0.06913923146932023,-0.010803468737589274,0.0976899178828234,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BC_pH8_2,-0.05067403892784016,-0.04224446062160575,0.14778537025756167,-0.06841944335109516,0.00010339503378971612,0.02540544365735158,-0.011891098822588504,0.06095343506530574,-0.012281530672765299,0.0906828146962368,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BC_pH9_0,-0.05732164927474831,-0.05139209083078995,0.09427159986742166,-0.07849136094522216,-0.011957357823848727,0.0038861616133995676,-0.03548144847478555,0.0525037377991754,-0.020990731926715883,0.006622826191394227,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BC_pH9_1,-0.05364672532872013,-0.056778233780161176,0.09521390205330174,-0.09435239836411634,-0.008265080989702885,0.002576309031118517,-0.025069302973216002,0.06194677947332029,-0.01950554544996956,-0.00047001684489457495,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BC_pH9_2,-0.06590474398401766,-0.05439875913702923,0.08006815491001244,-0.07786390865464572,-0.015734627055733103,0.0049162967859402934,-0.027238342893188418,0.06971888909683278,-0.02182129695039728,0.009908024994251525,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BL_pH4_0,-0.012784493521827723,-0.021400633509392326,-0.050958719920852914,0.006570061697908069,0.001752334745681805,-0.0026387655508259057,0.001062128733357657,0.02230904677477868,-0.000247354705048643,-0.04201391698063716,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BL_pH4_1,-0.009135672610415065,-0.02660715139106564,-0.04555686776728733,0.007245117785490078,0.0001307132273264561,-0.003360320166077303,0.0021152934610195787,0.01986018939024728,0.0031841390968664848,-0.04622575313986643,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BL_pH4_2,-0.011903390401731367,-0.019946676442480604,-0.053357853785805084,0.006252268071731798,-0.0010897709332082584,-0.0009006042600325915,-0.0036963210125332295,0.026523907110095026,-0.0010932656685295299,-0.039138604791268065,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BL_pH5_0,-0.011653962164469388,-0.024898600451972164,-0.05736067008551047,0.007698914288826614,-0.00021191763975050154,0.004384945661801358,0.0011871763043429546,0.019978657706600168,-0.0006881861793606167,-0.03678666955426983,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
