Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--parc-_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BL_pH6_2,-0.17215751246711153,0.13365753269470904,0.022875789406344934,0.31101385995583686,0.055533439253011484,-0.04227697449857772,-0.03289408329833785,0.014840875229514813,0.04980491686774336,0.1082361779317422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BL_pH7_0,-0.2714592290532006,0.1815522514603546,-0.03285845717415215,0.2854802676589917,0.11990211936483243,-0.11123277338788562,-0.14481047883143894,0.03659944125005733,0.035787620550102525,0.13714574310928582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BL_pH7_1,-0.26697907823259415,0.1762482323125005,-0.03425592170380381,0.2775004586196788,0.10556653956356252,-0.11146436373784165,-0.13905201993396743,0.03780064844121428,0.034752130093781836,0.1421835066434806,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BL_pH7_2,-0.26587578604443235,0.172027709780099,-0.03283329467613087,0.2849493878682993,0.11259407603181901,-0.10778210895500431,-0.13017715567884883,0.021352195489908684,0.03801980581256035,0.13265571441703836,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BL_pH8_0,-0.2929171742774222,0.16420780360131815,-0.028966640194311093,0.2108585505203708,0.06111157189042348,-0.1112511570573501,-0.1350680009737287,0.019336448500499773,0.05627156032249331,0.025579032559028787,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BL_pH8_1,-0.29375562113021375,0.16900740461059566,-0.024490236828670554,0.21414524688749853,0.07798288271236031,-0.0994782921064483,-0.13330484231205092,0.014702434766146804,0.04261573959627877,0.0014563768089789395,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BL_pH8_2,-0.2538466692926443,0.14567246687517546,-0.01946855872464568,0.20794620085588625,0.07490629747509957,-0.0987910169419711,-0.14264446871557634,0.006285580745695725,0.04929537877804882,-0.0004990925360471015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BL_pH9_0,-0.2729464444963504,0.14067718316436462,-0.01646177827826013,0.19938098731491224,0.07735994263835579,-0.07365313398854241,-0.09622188077753653,0.013692184607295883,0.042721612594373834,-0.040951952500997674,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BL_pH9_1,-0.27554446017045686,0.14691062974946006,-0.020096813294550642,0.19417132052957364,0.06531276869790062,-0.08665848404978928,-0.08822084540096312,0.017715947314206015,0.04679347696835579,-0.025052110174184912,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BL_pH9_2,-0.24798111245117105,0.1490858073228889,-0.018813461599790526,0.19616552938990622,0.0852709858658035,-0.0851907021722392,-0.11807718502964983,0.009663595776681012,0.04824935646808666,-0.042132737212611925,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BT_pH4_0,-0.03886690617093573,0.04353830408871823,-0.0031762428881357547,-0.07678304458482431,-0.00625851405703503,-0.018417535143216025,-0.01367876646351879,-0.0045655477379003325,0.029210009841329376,-0.04532213130722876,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BT_pH4_1,-0.03166284889225726,0.04729884442994776,-0.00804527868233297,-0.0669382563950089,-0.005850796197419579,-0.02636454280020426,-0.01827672779560089,-0.0045045255084076655,0.020890194428679735,-0.04086643864927084,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BT_pH4_2,-0.042049396044534185,0.039498181283554944,-0.006354968572116417,-0.07614889221306405,-0.007483256436560464,-0.020405121266275,-0.01926111133607185,-0.0030052434547763788,0.02439391068385347,-0.023504480124734665,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BT_pH5_0,-0.04766533896246034,0.04935055683002523,0.00035036617080154734,-0.07882472262272368,-0.006600460410118105,-0.01895880008885718,-0.01985238473983886,-0.0018799118972990826,0.025331205390393737,-0.03557088981018119,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BT_pH5_1,-0.056339832377903486,0.04217143887896901,-0.004530711182919531,-0.06651223751108933,-0.005822836125026579,-0.017406567971262596,-0.01847004398703575,-0.002482522020683341,0.017356172424295675,-0.022283231961824322,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BT_pH5_2,-0.046717216272878906,0.04893118398830942,-0.0048175665343423235,-0.07248666110043614,-0.0067491422885138045,-0.02083379605623043,-0.013639328201584842,-0.0019341594009133784,0.012802869150334078,-0.028876555221884138,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
