Experiments,pH<--AC_OD,pH<--BA_OD,pH<--BC_OD,pH<--BL_OD,pH<--BT_OD,pH<--BV_OD,pH<--CC_OD,pH<--DF_OD,pH<--parc-_OD,pH<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BL_pH6_2,0.041530665004544935,-0.05599013895525231,-0.005346850870258133,-0.02501451182624568,0.012607376930992238,0.006952695823072091,0.02055668938500078,-0.01079907063232816,0.01284391867563776,-0.1357319057376488,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BL_pH7_0,0.07687945398623529,-0.033356008414665,-0.004226690347751841,-0.12329387583324442,0.026666940998124035,0.02992228430412385,0.049438279597493626,-0.015744110475415768,0.03432685624565118,0.13577528779435422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BL_pH7_1,0.08311197878225988,-0.031215397175401453,-0.0002875514709107229,-0.12523465516450616,0.03433972038409633,0.027515360649027265,0.0425889539896794,-0.012302694255081214,0.03340302833639408,0.1394987465408833,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BL_pH7_2,0.0755474348989842,-0.028137961399296068,0.004602843383732044,-0.12324675709495075,0.03358525226459556,0.024935778345426783,0.04342789055050715,-0.01701012073408651,0.030756522924031908,0.14409248491182272,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BL_pH8_0,0.08428654343618645,-0.0396753933750417,0.009394760401514558,-0.09008579461470899,0.024397477020873973,0.035933356302911806,0.06668586271693527,0.012345795597395183,0.03504058446249234,0.32659784049443585,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BL_pH8_1,0.09446733948572175,-0.0551431887321498,-0.0009122036875266254,-0.0924789825389567,0.024102755081232486,0.04031140661757925,0.06694012201674605,0.017558624276324444,0.03887620260777032,0.34878947981997677,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BL_pH8_2,0.09495252996197215,-0.03394498927680696,0.0003819322464582744,-0.09490282553693527,0.02425919752810961,0.04487633958053978,0.06347970261279005,-0.002488010260074028,0.03499929971911985,0.35248195497886,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BL_pH9_0,0.09295413195115067,-0.05429549764274903,0.011955088308162023,-0.09223409834115405,0.016398898687051692,0.0481247674625205,0.074537978766729,-0.02015137300786117,0.032608934670038836,0.4277384369747471,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BL_pH9_1,0.08343506471213442,-0.05402377853170038,0.013788160706019908,-0.09013640934196504,0.010893055952923458,0.047547671962529424,0.06914999762226058,0.009734674031319822,0.03324110653170426,0.4215069427794737,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BL_pH9_2,0.09951444520331594,-0.07236385392106096,0.005829831099380606,-0.09207901471820863,0.016548206122673072,0.036013093547004715,0.07650488987727008,0.0050337633344790245,0.03265495325236218,0.4414069263143061,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
