Experiments,AC_OD<--AC_OD,AC_OD<--BA_OD,AC_OD<--BC_OD,AC_OD<--BL_OD,AC_OD<--BT_OD,AC_OD<--BV_OD,AC_OD<--CC_OD,AC_OD<--DF_OD,AC_OD<--parc-_OD,AC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
7comm11parcaTc_3,0.10830086304279772,0.08363353797760992,-0.042461989810285365,0.024951727027478433,-0.00979493278848088,-0.04714425898278536,-0.04784426444250606,-0.04696884928676098,-0.055411972693451085,0.03774678736439218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
7comm11parcaTc_4,0.10436673519242065,0.08104476241151923,-0.03460889097141182,0.023768978470369538,-0.0030393479958824485,-0.04066007970629827,-0.03787260774846959,-0.06438017642854349,-0.051670725363428184,0.028057999547732904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5477367110758552
8comm11parcaTc_1,0.15730141998471128,0.04839138625108675,-0.04822963753796142,0.035743388340848954,-0.005390941069825837,-0.04468107405402089,-0.02921021047007778,-0.06494551451147897,-0.15559521643687843,0.06075906566465679,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_2,0.12905617799933836,0.04932758146977943,-0.03887065635913091,0.027909055347351937,-0.021540864597520103,-0.05141202251386382,-0.03409346631201713,-0.021903275259487015,-0.1425493840241562,0.058219520410765786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_3,0.15600517151796298,0.04267884990443355,-0.0337696270790437,0.02995983305508676,-0.009436328038573263,-0.04233447325780338,-0.02945421934775684,-0.05898457633088464,-0.15642608256605656,0.05590411830369547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
8comm11parcaTc_4,0.16888061435002347,0.046851391570399616,-0.030481115176301934,0.03286210310038017,-0.013367392509851767,-0.04669503831345101,-0.01941117945248666,-0.06832889614545783,-0.19152334476132754,0.07535552349913381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8453285927693228
parc-_pH4_0,-0.028337933259165806,-0.013168993601980416,0.0036192182597258827,-0.00428384098831726,-0.0002907198489360188,0.00509712819819865,0.007172046600152618,0.0058769418121032094,-0.017976209749670135,-0.013909515029062396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0032572508755295392
parc-_pH4_1,-0.0248870733688059,-0.010726581097620985,0.0039991851896047596,-0.0019112351034646447,-0.00033418546390274264,0.006317240301033724,0.007319130008311375,0.0043241142643534606,-0.019773081745142525,-0.02052939101891673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.004437627208196163
parc-_pH4_2,-0.02548155950787275,-0.013088121896852618,0.005054777290510096,-0.004311433636947818,-3.9937144712261956e-05,0.009082602822910181,0.006349113901024279,0.0059326165493415765,-0.013248084341378315,-0.026451854768978513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0011803763326671925
parc-_pH5_0,-0.03133076940217744,-0.011657461094791476,0.005782709068254285,-0.005155790755930155,0.0006394503573360651,0.005056326884938322,0.006999094546165155,0.005171410477031833,-0.01178985760263775,-0.019916993452479013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08114687964645667
parc-_pH5_1,-0.03151480295735856,-0.010211529391615288,0.008075142136734466,-0.004626460028407366,0.0005102335062363877,0.007240756061737951,0.007532970654251782,0.00038234275320301946,-0.02065718230993852,-0.012933348206722218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11230826956373989
parc-_pH5_2,-0.030204464530815243,-0.016980630902816422,0.008574275513706,-0.0044383286555176185,-0.0002712618543402004,0.00746721149948628,0.00715174255973619,0.00989797861031864,-0.02210493860685307,-0.015293460034805794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09911694942295314
parc-_pH6_0,-0.03802774890123502,-0.01634208174503368,0.006654383041288543,-0.003423200698326463,-0.0007975109439829113,0.00597356922276642,0.008749913377282412,0.018070247293166496,-0.0348527080743857,-0.0022067401185631753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2884225051673924
parc-_pH6_1,-0.03921278475419335,-0.01800788375670495,0.006441034864148369,-0.0003486480175153067,0.0018706603996131736,0.005362114128859146,0.006564904856293099,0.011111952184658984,-0.028955406229133188,-0.001027821370440981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.29127362738877827
parc-_pH6_2,-0.03965316872557867,-0.01636939847112998,0.0077042087621015075,-0.003951278317557728,-0.0018767741176745165,0.008041315399434255,0.006761197106021903,0.009180512983837852,-0.02385271221723245,-0.0021857829845469937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2957269459022493
parc-_pH7_0,-0.048846396181894396,-0.018147200075504577,0.012599509376222673,-0.0030678689593206278,-0.0001876004704314719,0.009097655310255028,0.013455947682909341,0.008920572822832543,-0.04570092386039703,0.015674427953427248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5922068579302491
