Experiments,BA_OD<--AC_OD,BA_OD<--BA_OD,BA_OD<--BC_OD,BA_OD<--BL_OD,BA_OD<--BT_OD,BA_OD<--BV_OD,BA_OD<--CC_OD,BA_OD<--DF_OD,BA_OD<--parc-_OD,BA_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
parc-_pH4_2,-0.03054505953160317,-0.06393996964249277,0.00888493616943774,-0.017152609069548228,0.028998038209164922,-0.007025552123137142,-0.0048140922585583265,0.026330729721356996,-0.03624502120215608,-0.06578123568921632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0011803763326671925
parc-_pH5_0,-0.04947983796019916,-0.08368739979908518,0.012192893666417707,-0.016640408801967682,0.021350259051212794,-0.004942764225213424,-0.00119569270912072,0.03069316441355192,-0.034960200188924435,-0.034619848912824755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08114687964645667
parc-_pH5_1,-0.04930297409629692,-0.09179678496783195,0.014093980352677725,-0.008715006213473238,0.02027778300902118,-0.009126325175975976,-0.006679064008690742,0.028255452233488142,-0.04059661071585572,-0.017700293825372408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11230826956373989
parc-_pH5_2,-0.04409399962943533,-0.08270067558583355,0.009579046144271674,-0.016086185615023844,0.02686253715387504,-0.0075511304896486876,-0.00474709897261599,0.024998978032204116,-0.03382170946944667,-0.03372960205797268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09911694942295314
parc-_pH6_0,-0.07467933474675469,-0.124708287846297,0.013887161243221034,-0.027555120031794774,0.031032824243378374,-0.00655320540394472,-0.009716840583183197,0.03434383575440101,-0.04249228271939184,0.045151406835116766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2884225051673924
parc-_pH6_1,-0.05760808498558143,-0.12669658311845164,0.012067510260511994,-0.027867232298721435,0.0233937683928272,-0.011413388549471678,-0.006122997571592746,0.036982068142489256,-0.04367391486854657,0.03964901174297151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.29127362738877827
parc-_pH6_2,-0.0660112147681091,-0.1228599936450305,0.018154580602827274,-0.031204757011778977,0.03153956319326939,-0.011084106617971608,-0.011117162822705251,0.03870814272485998,-0.04695559223708898,0.03954070559419368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2957269459022493
parc-_pH7_0,-0.05994321102276443,-0.09987561339998373,0.01032981565465098,-0.0336601406854132,0.033714602708654555,-0.008747365768674926,-0.005555775609353315,0.03213939846371827,-0.06707241306243385,0.03738086223197372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5922068579302491
parc-_pH7_1,-0.07727234534838277,-0.09418246711563806,0.011833647729262065,-0.02928484878138356,0.03574344620918451,-0.012625225009801592,-0.010697177769211329,0.03636174255496134,-0.06162793410860973,0.040461326157269266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5480973412378645
parc-_pH7_2,-0.056073991276485755,-0.12576817622408268,0.009356794290892454,-0.01742263209398674,0.029273562418377915,-0.00907427232793492,-0.006649484495105952,0.031087432867320984,-0.051019012072002115,0.03499994342336836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5469120935714209
