Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--parc-_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
AC_pH9_0,0.018164373794975493,0.04457145339282957,-0.016483608704546224,-0.055160686274909464,0.03872458950656912,-0.02169740503248961,-0.02462658165751593,-0.17811448366583688,0.04000343708888344,0.03636145821084147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,0.018066743252717937,0.053132062588372955,-0.00877683677589116,-0.04793837385171133,0.03650986484373394,-0.027666667479535813,-0.02812643718946239,-0.19505113761710086,0.03819075679973416,0.04340257128133722,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,0.018472680060759836,0.05499299183487892,-0.009247327082506985,-0.06590532853065627,0.04162443713163551,-0.027562803295643427,-0.026548650671282547,-0.19386012061620544,0.03771471532952527,0.05206195359320744,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,-0.03063523244598638,0.008170155247916349,0.004410936340041781,-0.024092631408053893,0.02328152805404819,-0.01118898897715237,-0.0015499150429082963,-0.0977998712318747,0.023120676110620086,-0.011974119028967358,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,-0.021938266046345235,0.0059528413933256415,0.0047889430383625245,-0.02494005466770867,0.020553749977894453,-0.01365040445295365,-0.008371829643197682,-0.08617406313348078,0.011090383858460449,-0.00556876316666603,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,-0.019995382209510908,0.006518276068179506,0.005417680614020514,-0.027528024617096646,0.01476652141498483,-0.01300165148208971,-0.007866568296499876,-0.08369222886212495,0.019309261583763625,-0.012185347068892873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,-0.03260227650727915,0.0037310007344121517,0.0014735969156026859,-0.03590514773583931,0.02224803364795187,-0.008340335384659146,-0.0044388170524135885,-0.07438182159772387,0.02220721252910469,-0.012248896972640701,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,-0.03333498907639928,0.005882878459018212,-0.0023075146309059595,-0.026354306040574677,0.01879694889583017,-0.009589126958795215,-0.004159521241874798,-0.08331129145039169,0.019794610712839212,-0.0036751510445838377,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,-0.02822429866732463,0.005359010813028918,0.0025751611687566916,-0.0222079418712984,0.010940487716832887,-0.008221615446002589,-0.004068818986415864,-0.07911663344048935,0.019443306733408702,-0.014736120402812952,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,-0.04030810344802297,0.00014847243609635637,-0.0013659480214118956,-0.03388584621898507,0.014440500331313716,-0.012603101315705672,-0.015600908822987392,-0.06089163333177566,0.022115959549403718,0.009693146459758283,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,-0.03910106506360614,0.002237599517988121,-0.0023950643626892048,-0.038065291884476736,0.020575583455679208,-0.013054301570291102,-0.01325149403480084,-0.06874451469144095,0.02239534774390252,0.011145738507418531,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,-0.04762563307324181,0.0008616075178851259,-0.0019638752856332314,-0.03325268106292122,0.02157511242867812,-0.013117593117058273,-0.01099384673425685,-0.06277536497005952,0.025682908934743513,0.0033519029795475623,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,-0.06064760253481241,0.001066131377997605,-0.01216589396738488,-0.021371315356505948,0.019875152916040112,-0.02311452643054983,-0.006189124674900716,-0.07510292677127796,0.03484938928776462,0.024543253152590726,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
BA_pH7_1,-0.06685705465791016,0.0009313302001227507,-0.0027488142997026425,-0.038781616747703244,0.02516134057517933,-0.011150787723777087,-0.0066323478876248645,-0.08336652591824531,0.027957109831597497,0.037229903646461344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683981394347
BA_pH7_2,-0.043277747793042144,0.0018673294847426202,-0.005974390969976135,-0.031170894228245902,0.023831644072804758,-0.03645232106518486,-0.008977581635117532,-0.07449652244539363,0.02472025098684041,0.03167277121025583,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48110253833913064
BA_pH8_0,-0.056413042694330194,0.0022789334084676637,0.00039728591461544505,-0.030511230964051637,0.024252461703575173,-0.018904200792312618,-0.012848792779056921,-0.06282526231330372,0.028627994744026143,0.007688391390054122,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936980952847
BA_pH8_1,-0.06318721604088078,0.002360314720350763,-0.001303765446595523,-0.031256503717082995,0.02468074124468409,-0.017072781980361624,-0.013503203142596325,-0.06767445746485308,0.027156693958069966,0.021542715486948902,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698583743298
BA_pH8_2,-0.048622755939545834,0.002360314720350763,-0.0008839887040464787,-0.03309281706809999,0.01954703602453937,-0.013313941157058529,-0.008579848083141058,-0.06969651525435241,0.02298212723563547,0.011042925843402095,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64407134594908
BA_pH9_0,-0.05037702870595713,0.002499156762724337,-0.007431757756225441,-0.035447591808827034,0.02095502432273782,-0.019643285570909153,-0.009523151385719361,-0.061525682348596004,0.03164856698687958,0.0105882864996143,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859295671521
BA_pH9_1,-0.045782133574071134,0.0022214726779771887,-0.0021728577659181924,-0.034169794193104557,0.020218402469611686,-0.010659988726610723,-0.008446036352087622,-0.05962967664975187,0.0154166570176249,0.004746492714013743,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741257491587475
BA_pH9_2,-0.05273807678047729,0.0015272624661093175,-0.012236752024163368,-0.027655903288851615,0.020435519858222936,-0.01749744915443918,-0.010923492469541404,-0.04627316353113755,0.022710090694220177,0.004394501847741396,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74752624576109
