Experiments,BV_OD<--AC_OD,BV_OD<--BA_OD,BV_OD<--BC_OD,BV_OD<--BL_OD,BV_OD<--BT_OD,BV_OD<--BV_OD,BV_OD<--CC_OD,BV_OD<--DF_OD,BV_OD<--parc-_OD,BV_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
parc-_pH8_0,-0.023970787798095007,-0.008337238379551665,-0.010552877362048175,-0.01043019034575833,0.004669548974412939,-0.025490299719790728,-0.0005232322519726082,0.02413464073132238,-0.010298769872878557,-0.00040968991694566965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8455353071301549
parc-_pH8_1,-0.0072907141110171445,-0.00017331327757109756,-0.014237254923209548,-0.009950509345077949,0.0013137921395347165,-0.03509285848668736,-0.004362287444831885,0.02316970251885284,-0.009217879285671466,-0.005367574775186568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8378107178569503
parc-_pH8_2,-0.02185407865833005,0.000734475082920297,-0.011701408816582486,-0.007366247300625496,0.005482944494680216,-0.02906519789289196,-0.0018912242612113127,0.021382149060297274,-0.014507783148032815,-0.0024225245274441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8442380625189879
parc-_pH9_0,-0.023401050341275077,-0.00779811579187441,-0.011084427697300588,-0.007761628633041099,0.005612107051900869,-0.025996414092571852,-0.002216532984748483,0.020792414306703474,-0.009936056145790803,0.0005808073371324863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003926186226973
parc-_pH9_1,-0.023678110567447938,0.0015430396718337477,-0.011337797531210213,-0.014313177728782527,0.0046788328080235595,-0.020982390459950855,-0.006464793116826078,0.028643428058080053,-0.0049908749985954045,-0.014307053125989826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9964236708955914
parc-_pH9_2,-0.018887824779578847,-0.000493603864603716,-0.011665835020375319,-0.006558752299650857,0.0006137567454868027,-0.02779343753972132,-0.0037685556480984983,0.026206759454520497,-0.00911924907633954,-0.00974215592784078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9996501428774356
AC_pH4_0,0.02088836064157278,-0.0059385310174168435,-0.00830656749398812,-0.007737599250091159,-0.000499511709153329,-0.03993947517734183,-0.0012012813041877481,0.036984831773594996,-0.0022591598020137663,-0.053199963374873226,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.02088836064157278,-0.008564379088094702,-0.01751542276378883,-0.005424475511131082,-0.0007108139578738943,-0.036565701268289404,-2.3078638655335788e-05,0.02838213319323309,0.0017228740741215322,-0.04339839348893452,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.02088836064157278,-0.011651851780226695,-0.01532039316168622,-0.005440639232730737,0.001953325118140682,-0.043037040556740506,0.0012900388589047863,0.03407962497850151,-0.0020929761303831703,-0.041877345661430254,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.021444143771153435,-0.020264934842150823,-0.010213152297327053,-0.0038142383013568494,0.0003540143824141947,-0.04870988072301058,-0.0036302056947075155,0.04208962983451784,-0.0012286026921609174,-0.0372356704444341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
