Experiments,BA_OD<--AC_OD,BA_OD<--BA_OD,BA_OD<--BC_OD,BA_OD<--BL_OD,BA_OD<--BT_OD,BA_OD<--BV_OD,BA_OD<--CC_OD,BA_OD<--DF_OD,BA_OD<--parc+_OD,BA_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BC_pH6_0,-0.07294668964555731,-0.12975529512957387,-0.0065027536451816555,-0.018621846248760166,0.03079507806783785,-0.014673695996727633,-0.0051693097315728695,0.02789302433800438,0.03296946893810577,-0.0020118806519262167,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,-0.07360093807396682,-0.1491835703935636,-0.0064961647404276806,-0.02374499421323771,0.03249463564108896,-0.02195489716594634,0.00033165369506763144,0.030243781839051975,0.03707425035212351,0.016812344977389215,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,-0.07837785260265936,-0.15138399151275345,-0.0057299977864908105,-0.02423033982110412,0.028857144050138152,-0.013940060963935175,-0.004836686321574709,0.034090918356795674,0.048928209016018596,0.008598759885391462,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,-0.1051076080164184,-0.15321596040997817,-0.005045761433632475,-0.024612073793845335,0.040054829383026,-0.019045329293155146,-0.015677115596506908,0.04720408823260147,0.03399546860190838,0.043425559586156966,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,-0.09978502736143444,-0.18755963851657248,-0.005036524838727453,-0.02905165059006084,0.05016809226783074,-0.02526587678281509,-0.011304065262817816,0.04116762817715821,0.05216679813016369,0.05647636201556611,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BC_pH7_2,-0.09841198020979115,-0.17628257166675257,-0.004904828078073004,-0.02983606429689605,0.04240459929503825,-0.0165799501578769,-0.00859849953133127,0.03476535916085476,0.04501026825736399,0.05440976694388234,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BC_pH8_0,-0.11452551611739657,-0.1716760744211142,-0.0036811741992183364,-0.02168220086266165,0.03241581282861855,-0.02297121824939614,-0.007339473744935318,0.04542464391206918,0.04731541376317972,0.05869588853143481,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BC_pH8_1,-0.10591000405099729,-0.157167239189148,-0.003630010848459993,-0.023090506635768254,0.03135473223160142,-0.023141080450428567,-0.010602006011683008,0.03955674871802331,0.048075173227521396,0.046530293767219004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BC_pH8_2,-0.08692618035994792,-0.174594537642501,-0.0039060677847136635,-0.027942235965443697,0.039598305605999806,-0.019037089159955146,-0.010174849479580705,0.04343557930672946,0.03703940501112654,0.044483772029533346,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BC_pH9_0,-0.10157884365919491,-0.16416558893559421,-0.003801772782336112,-0.029912875520632324,0.037085668962124896,-0.024458317694294712,-0.018587024552018747,0.040244922365831284,0.05813415729076318,0.04901577527432339,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
