Experiments,pH<--AC_OD,pH<--BA_OD,pH<--BC_OD,pH<--BL_OD,pH<--BT_OD,pH<--BV_OD,pH<--CC_OD,pH<--DF_OD,pH<--parc+_OD,pH<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
parc+_pH5_0,0.06524732629161167,-0.09418255221098659,0.04177340048081849,0.03418478151702363,0.04087572202815309,0.024406151092894693,0.08253656752164595,0.05323541236555446,0.1605407413678325,-0.17929382123134058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08114687964645667
parc+_pH5_1,0.06288438208401202,-0.0943457142595688,0.040323729219482,0.02758404301722413,0.018362378922655534,0.011880302943451241,0.08034511811707334,0.05790510359179716,0.23243511149011872,-0.11132382816513597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11230826956373989
parc+_pH5_2,0.05153370438062628,-0.08823974539080388,0.03748492750946595,0.03483584562235552,0.0418270217627287,0.02147072298938166,0.07804012888151667,0.05828347090550741,0.1927185146178564,-0.1307070756598335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09911694942295314
parc+_pH6_0,0.07818360609285856,-0.09247686989200501,0.02047619034495692,0.007871478324675038,-0.006932827827075259,0.03277899024360205,0.0895101948009561,0.03766403070448534,0.15994550703660299,0.03941271191462875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2884225051673924
parc+_pH6_1,0.07399911505129673,-0.10609342698817667,0.023357623893281686,0.004628968336012044,-0.009150866951955395,0.03391400669498936,0.0815727710691483,0.05006192176724257,0.16527392725581705,0.04999299612220214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29127362738877827
parc+_pH6_2,0.07800258550145057,-0.1010873855699015,0.0217160223092398,0.0065985447249334835,-0.0030773443842063756,0.03298643303225221,0.09263196773341167,0.04687629579363957,0.15361682802681695,0.041048681608846664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2957269459022493
parc+_pH7_0,0.07725316684288176,-0.09927514102714864,0.022754209734013552,0.006130724771191241,-0.01689644375735002,0.056171332258407196,0.09402775632298511,0.033389867031541856,0.025692846735372487,0.3085654789792454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5922068579302491
parc+_pH7_1,0.08833164355920062,-0.10549656445808385,0.028278350796064604,0.0034197372238597133,-0.009064352441903045,0.049781316098473624,0.09581519804004093,0.0313792662371112,0.031718225337403,0.27099143608837667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5480973412378645
parc+_pH7_2,0.08368543890831262,-0.09997929696074648,0.024503674469888218,0.005327843350722736,-0.008910978762837848,0.05426783827012,0.09546551546324855,0.032380672234879886,0.02436118620002401,0.2735945990438694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5469120935714209
parc+_pH8_0,0.08417274677397116,-0.09987683469753553,0.018364999666000192,0.01361780004899787,-0.009669898575090836,0.05143187779285339,0.07481225857025256,0.028011696692556147,-0.014597816513446365,0.45280394472991664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8455353071301549
