Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--parc+_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
parc+_pH9_1,-0.03636406507343053,0.021924631704130896,-0.0050307212251683945,-0.02285067815333605,0.020598006044393,-0.01473310016581546,-0.006392571482321491,-0.04127292672577112,-0.030110118949542873,-0.009629820695389871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9964236708955914
parc+_pH9_2,-0.029914240043448365,0.01755216866893613,-0.0032270465953194577,-0.017397683194797973,0.011203325363280984,-0.011787583183335221,-0.00964227789770002,-0.035464164191937965,-0.05189449500616479,0.006710641452151793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9996501428774356
AC_pH4_0,0.010015820731287416,0.017353576507581313,-0.0037414335524258422,-0.032947271871178054,0.019998513772759748,-0.014113859995875673,-0.009109915311893691,-0.07982601998616819,0.03268002187104329,-0.06417079235872498,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.009280037876704462,0.012348789488491803,-0.003202381046569868,-0.030631470294750253,0.013002820397200788,-0.010092872693810769,-0.009016600042257622,-0.0844103743929578,0.03658383743108614,-0.05772315018850824,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.009290159600584404,0.011483514513010563,-0.004774166125318281,-0.017862022851148372,0.01764144213627214,-0.01718854009943164,-0.008551353781443578,-0.08104395034844462,0.02740991843783337,-0.06026636468489532,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.007797825355892598,0.009259461843125195,0.0014529238932806505,-0.03743932173303936,0.021566614362856618,-0.01607642936641755,-0.0059716713104559045,-0.08842864328266485,0.024994848477451693,-0.04101697336720384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,0.008914380274389103,0.007195491408524306,-0.006365838126967783,-0.0208693377479263,0.01584189332373764,-0.01585657830471578,-0.008122547796886903,-0.08507550368166489,0.025664549171924587,-0.04518786537096554,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,0.009832581019271978,0.011437135882999582,-0.005665032348555069,-0.03147583192457324,0.020009692858742625,-0.01979552705650744,-0.007089727911288324,-0.08072304809708956,0.030905817368108292,-0.05129741721503114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,0.01579086254796257,0.019358488914111387,-0.008094384381952494,-0.04054938909800157,0.026321979336764497,-0.025600397967450002,-0.011110489199990813,-0.15312117793637775,0.03393423029909964,0.019208920181769392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,0.017564955658238873,0.03300910246275042,-0.0061142075515311705,-0.047353055240667394,0.02851675189221682,-0.02542883288925109,-0.015687388142813806,-0.17026671325059048,0.03509381298785624,0.02680421875870747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,0.016653155428559885,0.02042674114846665,-0.004798585178087589,-0.04579319352688997,0.023539898358285426,-0.019888226749456447,-0.007503144365289939,-0.1593725114704474,0.0336763509751662,0.01919816113036612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,0.01693231753033141,0.03069572014167257,-0.007221240777036419,-0.04444987096216368,0.03144972737554623,-0.030201725640698614,-0.02517924713537745,-0.19979384822528,0.04599310975683772,0.05791369432178528,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,0.01701195746660233,0.03767193020361921,-0.011378798156004887,-0.058439460613805304,0.02289587549703277,-0.02890952450101791,-0.01945833146572113,-0.1927958180285667,0.04762577048786309,0.06191503532716763,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,0.016996777504682547,0.04407406098654737,-0.013822893367513363,-0.051798260377153106,0.025727195111305813,-0.03155654233758864,-0.02074379762391682,-0.18302046385472232,0.0391996783989927,0.05108288825206135,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,0.019759699073822606,0.03881440392816844,-0.00862792764344941,-0.046054473077149494,0.033910976096015906,-0.026646577100390978,-0.020770707660071226,-0.19030287643165691,0.03972820667630952,0.03632791964418213,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,0.019078538932878045,0.0366060387602319,-0.007697050514752449,-0.051149620242092915,0.027949201090504285,-0.034809910183691464,-0.01767437494319418,-0.17919687248280516,0.040120360796218335,0.04291233239614445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,0.020996720878326377,0.04394994096911472,-0.010188107662226841,-0.0623297375910308,0.04044028471183519,-0.029111391636340512,-0.022770042348167166,-0.19632778408572718,0.04729902845361957,0.04417973220186389,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,0.020091775075896934,0.05415509532003299,-0.018544841713231546,-0.050423613746205104,0.03048455099696698,-0.022004389416264453,-0.01809815179718578,-0.20474548323808808,0.045457503727596736,0.03976619929399179,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,0.019463478942280232,0.038106688309622855,-0.010728852752110232,-0.059464817973582634,0.03332699701513932,-0.03073579691512429,-0.029527480754515393,-0.17371554200254058,0.048480490682565644,0.040933477768431537,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,0.018929738373212195,0.04618410555888778,-0.012515629097495392,-0.051992417173865046,0.02806402648272722,-0.02604077904444674,-0.018993014264041957,-0.18715050296129093,0.037175663495841234,0.04247745309187019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,-0.03801632810869943,0.008723131722730143,0.0014979958242696259,-0.009075927348888438,0.02013932707193105,-0.006727600249907246,-0.006997971774443338,-0.0788485868923042,0.022817007390701246,-0.037372412357641306,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,-0.028547015199842655,0.007056631160819012,0.00033457026533458543,-0.021443331416534338,0.018322889976527378,-0.01000896392957024,-0.005526062875338223,-0.0803693818171387,0.025945677145019826,-0.029626378323072983,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
