Experiments,BC_OD<--AC_OD,BC_OD<--BA_OD,BC_OD<--BC_OD,BC_OD<--BL_OD,BC_OD<--BT_OD,BC_OD<--BV_OD,BC_OD<--CC_OD,BC_OD<--DF_OD,BC_OD<--parc+_OD,BC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BC_pH4_1,-0.015945848659004856,-0.03479735458026762,0.0511456784427814,-0.023599749123272694,-0.0020209974244884805,-0.0009409693984881685,-0.0027343364691604735,0.03226943843228662,0.011400546029857966,-0.09894160432660062,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BC_pH4_2,-0.023497238975504178,-0.03531511491731456,0.054746157862246035,-0.01571996449452379,-0.0005996100912275495,-0.0004583892064250044,-0.0011613256160331793,0.023535887229701746,0.01288951963510202,-0.09858511857364491,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BC_pH5_0,-0.013723003632672457,-0.03674311473641706,0.05132152979626604,-0.025654205467713912,0.0008078952538578411,0.0013953854726708452,-0.0005485510939489218,0.02065905389092539,0.008408420738642631,-0.09008860760894807,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BC_pH5_1,-0.014173748749105824,-0.03164811529219151,0.052684966314422044,-0.02465339686235656,-0.002930059311506542,0.0003565944763629339,-0.0031869338728163546,0.02530781720805428,0.006711946073109693,-0.09263426800298952,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BC_pH5_2,-0.014665118003992932,-0.04225871444720288,0.05320746916953638,-0.026717875094517417,0.0005424997566834743,-0.00021358387139828292,-0.0026927775970619645,0.03157212015565323,0.009042124437249227,-0.09198134234903951,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BC_pH6_0,-0.010427299389696639,-0.05397646931526454,0.12378979007673001,-0.04207021744840818,0.004373481561956198,0.020160943559654376,0.008885528466299825,0.033620222173631184,0.018856760211612866,0.023861847221851352,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BC_pH6_1,-0.0011110216330574901,-0.059999294851137225,0.1410625282059545,-0.045135394508100085,-0.005060500313082463,0.013283086078970328,0.005314682255620539,0.04646330609269763,0.01943170054451279,0.06172419160118569,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BC_pH6_2,0.0010862498989571672,-0.05300554866052193,0.13520669061690568,-0.03882545989330695,0.0008276472856169175,0.007088952232962067,0.005157414600253111,0.04519393904539556,0.01782596442686475,0.04902048454822405,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BC_pH7_0,-0.05238852444550266,-0.0666367861353185,0.15370677962413298,-0.05481839260653309,-0.002738646385462388,0.012941106710097065,-0.015902361605802308,0.07272313876644422,0.012107184809511125,0.10385877719715887,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BC_pH7_1,-0.04571096426766851,-0.05787358735566552,0.1522171405184528,-0.05172532988145299,-0.0012469999945681997,0.009693737020311151,-0.021773887511504726,0.0667245269987894,0.01817649184361748,0.09441302067559695,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BC_pH7_2,-0.04792831048207439,-0.05700811741954606,0.15422975183505078,-0.06500305837911109,0.00020185243824254095,0.014749556668102737,-0.01888779299252707,0.06764806406815417,0.01613276828404354,0.09875183334169182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BC_pH8_0,-0.04724409712073596,-0.03796211208500293,0.14146256411205166,-0.06854656887281198,-0.00033119304672530844,0.02209379377086525,-0.021849692319722277,0.06870865882738775,0.02091335105345301,0.08173642766054556,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BC_pH8_1,-0.048275883552496866,-0.056326936595141895,0.1367118011690352,-0.05235269634620004,-0.0018228629506800483,0.013869151230091624,-0.008757299247967162,0.06529345095643531,0.02639678845910922,0.07931381139418354,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BC_pH8_2,-0.0502978484057214,-0.046849124417032886,0.13544382321283868,-0.07369431040047304,0.002379075342222398,0.0014579702492641363,-0.018375331459809904,0.08699180427128854,0.024348360538158732,0.09220058247285044,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BC_pH9_0,-0.04059597441035769,-0.058617052507141366,0.07264630231682374,-0.07840056519469486,-0.022226105918702874,0.010304709535254086,-0.035377392627946716,0.05222155332889246,0.011742088759075045,0.0041372382689429344,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BC_pH9_1,-0.05634723349433877,-0.055879079475998863,0.07415980799204629,-0.07806525087388963,-0.013793885576660215,0.0022634092588787492,-0.03162386556196472,0.05128826945534221,0.016826674416661268,0.007005955659500929,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BC_pH9_2,-0.05041250756577306,-0.04625724263327279,0.0743325918831903,-0.08065552848998618,-0.02247098398111436,-0.0004747075555117236,-0.02461510270348061,0.05799486281917144,0.013944314269591931,-0.0055508944278825885,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BL_pH4_0,-0.008872129675810752,-0.02410996896417245,-0.047351771904074635,0.006570061697908068,0.0004888692562994749,-0.0030601191747447716,-0.0055242637382901215,0.027192587062068608,0.009945299497441105,-0.03944376144072285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BL_pH4_1,-0.010616063428637771,-0.021670723262688388,-0.036482530378777044,0.005579186015478941,0.0006148051826850242,1.791093822406741e-05,-0.0003786733471181073,0.017486351227954677,0.0027510131555406954,-0.04146647319197655,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BL_pH4_2,-0.006798061151867327,-0.029116423486367515,-0.0400074338864373,0.005255584444688715,0.0015376057378623815,-0.001362141004723052,8.921179434542907e-07,0.012209325492705987,0.003201574334955734,-0.029086119688075517,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BL_pH5_0,-0.004997750491551732,-0.031206021378545654,-0.04828283323217993,0.006380490919818049,-0.002418559674659499,-6.572170102078537e-06,0.004653268263715767,0.021668036686985387,0.00719171737847121,-0.03714697339126597,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BL_pH5_1,-0.004310995772804902,-0.028789231484027022,-0.044384628173125835,0.007123594392576945,0.001378305251507656,0.001461978721553864,-0.00024675216363823814,0.014799842453845172,0.004956650957465172,-0.036153961502663465,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BL_pH5_2,-0.0069376266974469905,-0.0261041338239675,-0.05365392184613839,0.006038684294275615,0.001063210776318676,-0.0015547849561857144,-0.0005249906541860615,0.02044312606687131,0.007940169271567593,-0.03087492981844622,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BL_pH6_0,-0.0027074330413471097,-0.03805364294058604,-0.08117209696413383,0.008240167926187099,-0.004096513758211031,0.0038981757798920514,0.0045197195932269105,0.024370538406074047,0.007701766801917034,-0.006865879183878067,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BL_pH6_1,-0.00011266854146252437,-0.04224211099517086,-0.09172895699253546,0.009741988642060238,-0.000793937015468658,0.003049501838243526,0.006875749518689906,0.018976276042344777,0.0037848553272045176,0.008284105080301345,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BL_pH6_2,-0.009927994608879087,-0.037155356719765976,-0.0959858119649731,0.008934169687006782,-0.0006979839438977438,0.005074627302263091,0.0019679685341923146,0.023193621917263322,0.012982796809595566,0.007448765823374624,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BL_pH7_0,-0.008610886176643162,-0.039111595374086636,-0.1163771332136315,0.010378965417975965,0.005918481377479825,0.002924256958067417,-0.0028619169362861167,0.027983640299543096,0.011823968843597434,0.02376702171466921,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
