Experiments,BV_OD<--AC_OD,BV_OD<--BA_OD,BV_OD<--BC_OD,BV_OD<--BL_OD,BV_OD<--BT_OD,BV_OD<--BV_OD,BV_OD<--CC_OD,BV_OD<--DF_OD,BV_OD<--parc+_OD,BV_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
7comm11parc_3,0.1091263738387953,0.0185937947002442,0.05197233064363347,0.038297429614416935,-0.04222926429391878,0.14876336063683518,0.06710192710748347,-0.04003013483228405,0.10702628718851051,0.11719626182325833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_4,0.11021242129737915,0.00410801765104026,0.039802294567875235,0.08179177029301292,-0.019509915696538004,0.16008262294850756,0.07810644594952466,-0.07088291448621974,0.06909735010349716,0.12301027379889529,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
8comm11parc_1,0.0691183570758237,-0.0756986710767302,0.023501000232265697,0.02437286019892149,-0.020909903717591712,0.06357375669981473,0.022771530494336844,-0.05855419689161785,-0.05319847610050246,-0.06514772575004431,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_2,0.06756071923179147,-0.11529268865878493,0.008014352161275303,0.04934804029033884,-0.013733932702275718,0.07879970238361829,0.013153204374096316,-0.04724332918655937,-0.04582368113323236,-0.06495385559559191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_3,0.0647668470478738,-0.07193252230184558,0.03453814359057856,0.024514423449847687,-0.02306595462131436,0.09781626949937121,0.009518167333191507,-0.0762725445603871,-0.03380667258681649,-0.09624762568582333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_4,0.051840250649610925,-0.059790362975276685,0.01312155540060738,0.028413938085710553,-0.018061169880725765,0.07006580572595578,0.028506254151099083,-0.06420388103138819,-0.04699624892506427,-0.0730676100358529,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
parc+_pH4_0,-0.01507556620033701,-0.004812389159696583,-0.006848779964139281,-0.0046720728630442986,0.0025237846929256035,-0.02912738237813438,-0.005164780030229492,0.021634773969569282,-0.008470373836993847,-0.020158682365537334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0032572508755295392
parc+_pH4_1,-0.011979787730733337,-0.005428793461912352,-0.004167358331058337,-0.004301633427486471,0.0018329426573346491,-0.02488161721631237,-0.002850270843862192,0.018341315740962396,-0.012196614711504912,-0.02453965042879724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.004437627208196163
parc+_pH4_2,-0.006939744119653883,-0.0038726485524650496,-0.008569604900625088,-0.005096036358938917,0.000811942676487176,-0.021657118860875135,-0.005581662139814833,0.019905353621782168,-0.01615049897328667,-0.023021451645814203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0011803763326671925
parc+_pH5_0,-0.01439715278395654,-0.007635672673502045,-0.006346709795863083,-0.002155076149932068,-0.0007692477649644668,-0.032480986971489115,-0.0041022372306527,0.017040586917377684,-0.005425529729615412,-0.013899443221237998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08114687964645667
parc+_pH5_1,-0.015097565054488574,-0.003999683995042805,-0.004564127347472569,-0.0019716813929540953,-0.0005802386634699675,-0.03061819203724354,-0.004427546193499279,0.014631185713021652,-0.00492962275226803,-0.018613995803196143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11230826956373989
parc+_pH5_2,-0.012924894075435787,-0.004552773065946024,-0.010921947374211052,-0.004136468657575871,0.0020711071505818677,-0.031207841978529872,7.192218655963263e-05,0.016185965958334828,-0.003553407577311864,-0.0212031314017899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09911694942295314
parc+_pH6_0,-0.019111398839715712,-0.008323978403097263,-0.011283520079096368,-0.006778016145057652,0.0008343282690190747,-0.04704469727635708,-0.009809098256670912,0.021164921792628973,-0.01232614295962064,0.022506134002064557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2884225051673924
parc+_pH6_1,-0.024396534696140365,0.0009931467003796398,-0.011038844842949636,-0.0043845381952174346,-0.0009929583521316883,-0.05272529729399022,-0.008041117468686857,0.016390535082749052,-0.013481097629536748,0.02750523879314246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29127362738877827
parc+_pH6_2,-0.012337409876205999,-0.0072254586470839755,-0.01186018528578722,-0.011325974679835465,0.005542265672398649,-0.046050478948442185,-0.011062810822471007,0.01954897773128165,-0.02362847748576947,0.028228083242581258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2957269459022493
parc+_pH7_0,-0.02072864037290539,-0.0022936672441985304,-0.007500754751710463,-0.01654241794396354,-0.0004497117026830508,-0.04385516011986234,-0.011091413005943532,0.028247921043683007,-0.008705160208856283,0.012747535471116069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5922068579302491
