Experiments,CC_OD<--AC_OD,CC_OD<--BA_OD,CC_OD<--BC_OD,CC_OD<--BL_OD,CC_OD<--BT_OD,CC_OD<--BV_OD,CC_OD<--CC_OD,CC_OD<--DF_OD,CC_OD<--parc+_OD,CC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BL_pH7_1,-0.020376491280495308,-0.00041130421713561356,0.012979442752270105,0.016248782578369838,0.02328536113410297,0.0031118631542093396,-0.20219541794883658,0.02932957062821673,0.018957243371633407,0.05594188198761042,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BL_pH7_2,-0.03605921022766067,0.006055122602265329,0.012993238517589378,0.01742372512817382,0.023151752162805718,0.00018561618362108106,-0.18077422818746006,0.03855887025250527,0.00937519278579756,0.045960852925301235,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BL_pH8_0,-0.024968890815203926,0.008289783786901315,0.014819592640826315,0.017538872693219913,0.011547531356893318,-0.0025403316653050158,-0.1666305732579254,0.025786054167775043,0.01687363723196778,0.03615525662332125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BL_pH8_1,-0.04156516498349525,-0.0025066179069487935,0.01221603661937558,0.019073265329327266,0.022171113876241218,-0.0011181228172600923,-0.13616966920029175,0.030376025004484494,0.01358134246795722,0.020812724113930016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BL_pH8_2,-0.03920263588382943,-0.003660950183402747,0.011626219279537702,0.019803843080349583,0.01955887595733182,0.005075203119625298,-0.16195209823558918,0.03620395920163467,0.021207816588246952,0.02821069970251183,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BL_pH9_0,-0.04555729091258558,0.0008941401928440542,0.008110538247628541,0.019986052535798236,0.015741393745107492,-0.004023402507831951,-0.1338066951086259,0.036845458968765225,0.01725942401600111,0.021421316412540723,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BL_pH9_1,-0.03758722184777624,0.005760667898449236,0.011840777175814802,0.017690996315492234,0.013788794811723914,-0.0030408956072009766,-0.12322510138508339,0.026413807201644653,0.01382389054623554,0.01140521703363882,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BL_pH9_2,-0.03340755588157387,0.0003849262868702093,0.008585800324293336,0.016918801791642017,0.012687936222443921,-0.002802586275274339,-0.1112876327429979,0.022541756703437343,0.009719432215408786,0.01353005404047587,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BT_pH4_0,-0.012250417531569205,-0.008858107904316454,0.005837888324673733,-0.0038000794292589565,-0.006947516458837884,-0.0009160193906206144,-0.030869546578184744,0.0158510944547901,0.0053940067313732985,-0.02657036856555825,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BT_pH4_1,-0.009078031526271091,-0.0024045650611388618,0.006510997608901284,-0.004521873200960132,-0.0065132966801605165,-7.963289587717912e-05,-0.036718121897783534,0.010314351662629001,0.007799926078675881,-0.028438819292831513,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BT_pH4_2,-0.008800223323152119,-0.00953658379847184,0.010373197663170486,-0.0038994193653090173,-0.006079076901483149,0.0004558874655555451,-0.027456931324938882,0.01167407324254189,0.005017045404478585,-0.03487703427044757,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BT_pH5_0,-0.006350021994389271,-0.00760876448450448,0.007838986210889465,-0.004154403322457294,-0.005773297274971137,-7.994534883081271e-05,-0.03714197095524034,0.013294925389244506,0.0037982264484035895,-0.02695279952310755,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BT_pH5_1,-0.008950204917270204,-0.004969962701282425,0.004921216883737108,-0.0032753454835113623,-0.006762664661256842,-0.00040090183236474083,-0.03793529662293504,0.011165706453055308,0.009126846243667861,-0.026048459067950835,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BT_pH5_2,-0.009328983397951917,-0.008423544547277622,0.005743137777621007,-0.0010673006062152913,-0.004463309035838944,0.00297663300257662,-0.04021302543519794,0.00721733571516107,0.00888163341593969,-0.024451643069497427,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BT_pH6_0,-0.00795417733460098,-0.005399353975814806,0.008517322413188038,-0.007982938541504352,-0.013469988784914757,0.0019541945719443593,-0.06375508872194863,0.01060204620852702,0.004386502407066037,0.009972415925610972,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BT_pH6_1,-0.011867654586575281,-0.00671796244154077,0.014001024226890873,-0.003623259729685504,-0.011446984083108281,0.0032205710110619007,-0.09732036814301112,0.012849510142417704,0.010092860334249134,0.02768319545111254,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BT_pH6_2,-0.012742912168007185,-0.010755250544803543,0.014352743159625276,-0.005758647653881624,-0.012460463620600819,0.0008766849861358827,-0.07735316169073644,0.011433224329907123,0.008485327681283586,0.02079338750609642,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BT_pH7_0,-0.0303624785076017,0.004477201728960094,0.009995665126075236,-0.00788753945329834,-0.01608490198648171,-0.0003169829604904283,-0.09204867753665896,0.018066281466947304,0.016003528866896648,0.03502883762161693,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BT_pH7_1,-0.017273913813228518,0.0036532990270010802,0.010068662170745916,-0.007058286629009829,-0.014163132715241422,-0.002163904256430333,-0.08124161263391294,0.010885092374544752,0.007785861456220079,0.02637886984526868,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BT_pH7_2,-0.023179474435746673,0.007863533098817517,0.0115722487693774,-0.010212535067542418,-0.014171798291170726,-0.004647635959655692,-0.08322294086197635,0.017638104229801048,0.007502563382478671,0.0277288691152859,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BT_pH8_0,-0.027418966020720643,-0.0005990107851507875,0.007914831193730881,-0.010373687555446574,-0.013717863132529286,-0.0021376837627537053,-0.0587752585094827,0.01863801925827789,0.014826263841140367,0.008514287510593221,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BT_pH8_1,-0.019249647386756764,0.005837761943289282,0.00914017423764681,-0.012952838874644722,-0.012681764432269598,-0.000426052083139835,-0.062237579370950084,0.013441302979506716,0.007885738279690723,0.00811383672584982,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BT_pH8_2,-0.030171680663226418,0.005055599296060594,0.008793938496585368,-0.012952158766667077,-0.012280832985618521,-0.0019177651287400688,-0.04954689246288541,0.017352500031752836,0.012235967832536476,0.00030225653201341633,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BT_pH9_0,-0.025564551557940626,0.00806941055702855,0.006260096544359362,-0.009429295216788255,-0.01000425028736177,-0.0017818919564192392,-0.05627867764064475,0.019028418879328376,0.008540013640228173,-0.0019683408018444535,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BT_pH9_1,-0.025526337601426665,0.004916217979347413,0.006221878385049818,-0.010376741101195954,-0.009821731677764787,-0.0050634054069245305,-0.05040005465392427,0.019250077594921967,0.009033029004931447,-0.0013619986364779922,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BT_pH9_2,-0.02135656066967741,0.009618411069209487,0.007558505914437219,-0.011404343410344471,-0.009640298592655557,0.002104334148284777,-0.06123247874743791,0.016092792526039335,0.010813490025820615,-0.005682920264890014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BV_pH4_0,-0.014427996942692476,-0.007525802994268423,0.008534042219145466,-0.002492973701724703,0.011548472678430542,0.0001834847883361837,-0.04553072321765206,0.013692872739882898,0.0111724064915198,-0.03828284973744303,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BV_pH4_1,-0.010483273567287654,-0.007089050083988064,0.008925152253460786,-0.004985767942448351,0.00919019141619134,0.00013761357829460654,-0.04578933018006628,0.014628444962993105,0.0035780942444082185,-0.031241142216300512,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BV_pH4_2,-0.016372100236552327,-0.001126530796957568,0.007184069302925111,-0.006542402659239166,0.006421308237350668,0.00015596201825562978,-0.04102458040027515,0.016684359963224066,0.006406273851069905,-0.034915427040895855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BV_pH5_0,-0.010377771982963642,-0.0048796134766535436,0.008186039759868594,-0.004510071523609047,0.009638510464194594,-0.0005665400184933908,-0.04083192473054743,0.01426147585385479,0.008037962834806303,-0.04208713502051187,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BV_pH5_1,-0.015170773431942192,-0.007934312107922187,0.0063211584303771015,-0.0019607844992803984,0.0079385500122874,0.00012386807746699215,-0.04246699807051893,0.016647574646479407,0.00651920630424486,-0.033146557068432,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BV_pH5_2,-0.019917963995982935,-0.009244905206496302,0.008076083615381755,-0.003346555147259294,0.0074269216684827,-0.00014289927932069325,-0.04716667852425219,0.016851993843751106,0.006666715779928898,-0.02233178051411295,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BV_pH6_0,-0.01967110937025964,-0.007869328471184099,0.00678292114773522,-0.0027299279948372556,0.00927124741213882,-0.0037324722791495526,-0.07353152157819788,0.02002149547450244,0.008041348779047637,0.00028827892272206894,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BV_pH6_1,-0.021086824454934056,0.0030186318865288862,0.007559809854618556,-0.005407927301358025,0.013461553840341211,-0.002837477149441837,-0.10804015658649047,0.01742343757488846,0.008525419842512549,0.024254464991795625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BV_pH6_2,-0.018840813267743214,-0.01075604002507727,0.011315025200551054,-0.011053567659211063,0.01232388441167448,-0.003931824600566988,-0.08598036989458309,0.014602355612745586,0.01028191631447281,0.018910366458838562,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BV_pH7_0,-0.019992175710073713,0.007798877779758819,0.01021107696401684,-0.009789034147625383,0.015296851119188515,0.004969743480500972,-0.14593763624009187,0.01949628921023205,0.01374773409582027,0.04106920561064844,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BV_pH7_1,-0.029134481280444827,0.008133241394534703,0.008888344320610326,-0.011011375456582755,0.022486889912675986,0.004592561993302535,-0.16283674548704016,0.034320005809422585,0.01762693388529284,0.04380555709651874,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BV_pH7_2,-0.026582888262143924,0.0026748947393270633,0.011108423475753108,-0.007094080769608768,0.01639646738970085,0.0052555423618658725,-0.15034718517740459,0.019412428484116073,0.012912235688418152,0.05313509432467349,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BV_pH8_0,-0.0333054358890766,0.008482378697346731,0.009876902218219703,-0.009090482522935973,0.017561605773845933,0.0020344035827514276,-0.10729857537136213,0.018991351823281984,0.015109123598946174,0.014509660591897757,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BV_pH8_1,-0.04489906450490588,0.013368372331504993,0.009232537941551645,-0.010088122847297674,0.01895429820697957,0.0036250093131852523,-0.11371774790444125,0.025063863409500894,0.015798673530858332,0.019533113103724364,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BV_pH8_2,-0.03219140693226465,0.0070946754566798735,0.010950924169029232,-0.006641755714486149,0.020165208567278048,0.0023318503428574494,-0.12268706973328294,0.026943004360959023,0.012148238258314846,0.018757263827036415,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BV_pH9_0,-0.027909396528873746,0.0020430230192394687,0.012484450524915815,-0.008996555548586438,0.0119426835438682,0.0030367259816873977,-0.10318997959839177,0.028968227031114308,0.012889772677166468,0.005601984508558296,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BV_pH9_1,-0.03433796312528378,0.008051643476355822,0.005175506699445617,-0.009648497347699722,0.014229699087572161,0.002556204008667365,-0.09125616229564437,0.026646766632430905,0.009475286552257349,0.005978448407056376,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BV_pH9_2,-0.02382467056735945,0.007874713158741107,0.0062705779443090045,-0.00894769903803852,0.0148432366254375,0.001512144704997215,-0.09506243664973779,0.026794453602810592,0.008623855225488785,-0.0012132427798908045,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
