Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--parc+_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
parc+_pH9_2,-0.03467229398777303,0.030749862893767976,-0.00483128685220752,-0.05683915738259321,0.013683947876257738,-0.014494471667820344,-0.010557044846532136,-0.006066215320125871,-0.02701166075249405,-0.0206039657836537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9996501428774356
AC_pH4_0,0.023838451647240185,0.0454268790623578,-0.007183329104243413,-0.13124630220477346,0.02446591831014856,-0.031792271456316766,-0.020509245903838583,-0.009143362787106764,0.04781562340769755,-0.07231465216847542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.017886094693904335,0.04727739565398381,-0.01562490074287938,-0.11692619892606591,0.01953326662314003,-0.01786391970499054,-0.017671653427507563,-0.0030597173398279626,0.03268137969238602,-0.07687404442173632,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.014337903688783233,0.05635125075952839,-0.008596962046930973,-0.13657010669820013,0.02740201868400302,-0.01817363206823559,-0.023586988830534016,-0.012014104210893094,0.041265302242144294,-0.07105697969136679,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.015462894653496533,0.031164711219380078,-0.010443676046055297,-0.1221661170717815,0.02402793008510186,-0.025223768091882044,-0.015204237863502423,-0.005075630969975304,0.029990591909736394,-0.05317499763858706,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,0.017188258242347973,0.04229511643516953,-0.009328209004648352,-0.1118446007727281,0.01929766455179323,-0.02790699134297345,-0.02168459805538473,-0.0024070776015034183,0.03596324218194121,-0.07221509522555963,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,0.01411860641901908,0.040795601854991655,-0.0022232235575337773,-0.12140652252442159,0.02860973330943481,-0.02877648046564149,-0.015528055481288742,-0.005817490551701708,0.03040819323014305,-0.07082265189808347,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,0.022980030068884726,0.040300308068728315,-0.008830724719749845,-0.205778943689783,0.03450103395578006,-0.041028844977364594,-0.01861366132436239,-0.027246007916072148,0.04503876248455567,0.028035757736424388,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,0.025100674898080207,0.049598177483548285,-0.0013729497353019934,-0.24303240994234446,0.03138573358402304,-0.04286260939081726,-0.027355248137660656,-0.019759495240514693,0.04907932315183721,0.04857651492094863,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,0.025712942092315005,0.055761356871656106,-0.011304491770899164,-0.2416151716001332,0.0271283044297572,-0.04048936516451447,-0.027066548650517414,-0.02033496823566763,0.04412960216605468,0.05743604932547263,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,0.03497714066635007,0.11745279040268583,-0.008022425725408218,-0.36528348147059275,0.03423434734587436,-0.042835470113255406,-0.048271983738826664,-0.0024627118023193466,0.06730066363659244,0.08226883166834065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,0.04260860585972019,0.10792748016912652,-0.026269325694150244,-0.3323127710147073,0.039588814050202134,-0.0595502143442307,-0.045659634578649126,0.0021550167198090458,0.061815935105652274,0.07905379486877633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,0.04107627248634463,0.09148281196780175,-0.02366670092000909,-0.30353747457832736,0.03496209691602575,-0.04498891385515098,-0.044442386734906754,-0.008631575420579837,0.049421517729111325,0.07768206224250407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,0.04866430057131725,0.10137879639337564,-0.02720192359598435,-0.3367238077930296,0.04497294629154646,-0.058251718426447205,-0.050184563924760936,0.005413566844375881,0.06290668947946118,0.07838342622489383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
