Experiments,BT_OD<--AC_OD,BT_OD<--BA_OD,BT_OD<--BC_OD,BT_OD<--BL_OD,BT_OD<--BT_OD,BT_OD<--BV_OD,BT_OD<--CC_OD,BT_OD<--DF_OD,BT_OD<--parc+_OD,BT_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BC_pH9_2,-0.07985379456178,-0.01380993797949961,-0.00684024450045241,-0.039194611316627784,-0.10428453498277,-0.005643545415900323,-0.011772935321635529,0.046619215028805894,0.04047518718866226,0.056905624561173755,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BL_pH4_0,-0.03372497138607761,-0.016111622863530142,0.004853878087647583,0.010378064571515373,-0.06832914724986515,-0.004006436786452389,-0.0006612545332830886,0.03734139272254771,0.02822136545250111,-0.07536084740847834,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BL_pH4_1,-0.014186633624055464,-0.02498619473984708,0.003151864304166772,0.012551661378339586,-0.09107307229089835,0.0021043269024433008,0.00618639521766454,0.04178063506159284,0.02320421337170283,-0.07613277464416687,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BL_pH4_2,-0.021351216980053676,-0.02159193360955333,0.0013947367704594917,0.010962972337703991,-0.07721505578728798,0.0020406542264896905,0.0022274633136618403,0.04455165550274694,0.011557881970201498,-0.06997673680742636,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BL_pH5_0,-0.02446897016109332,-0.029086447112343233,0.007871406859839742,0.01186486225210778,-0.06933330380560263,-0.0016439845502052616,0.0042195182763364,0.031665929848449716,0.019535960817061684,-0.06802455148760878,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BL_pH5_1,-0.013826573147114527,-0.022763437767229656,0.00048814044921132604,0.009688808052679118,-0.06205855257849656,0.0012791269926516254,0.006735986934610363,0.015879426385964387,0.010595498479416838,-0.06341800308219439,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BL_pH5_2,-0.021221756789347394,-0.021766077693673253,0.00606658321501606,0.0101294492100082,-0.07680200579636931,0.0032819359933795493,-0.000910986185316806,0.022330918579524305,0.018897462701829876,-0.057405102580340345,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BL_pH6_0,-0.02014798444574294,-0.0289767651770102,0.005901111628576789,0.01578018071210903,-0.14065196641032465,0.00013735750325672233,0.00447886854491156,0.03147883482884778,0.02349105337796651,-0.008890269714731556,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BL_pH6_1,-0.02637373325192248,-0.032266164054162806,0.003134235140017192,0.015274584141924334,-0.1723535964832358,0.0010434269374641387,-0.0015945141248242978,0.05569290391614905,0.020901798698241294,0.01914147959698154,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BL_pH6_2,-0.028639744522211998,-0.032344796374116254,0.012749280926730968,0.015319103151964757,-0.17381166343152035,0.005771347860927167,-0.0008956364084683006,0.04970515224657467,0.022799386484953374,0.011947990800861435,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BL_pH7_0,-0.0672901846209298,-0.019902681322039463,0.00390900023261328,0.017484431659559842,-0.20225555973410927,2.1931852578470778e-05,-0.006988516743092433,0.06471594819292913,0.026044742805154425,0.06686130861427797,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BL_pH7_1,-0.0556811761305384,-0.025973921420214596,0.003333233306994257,0.018271024293549685,-0.19157055381037616,-0.007611908529399205,-0.0032904002665663555,0.057017425342624925,0.02760666226320293,0.06050003588766507,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BL_pH7_2,-0.05599028559118185,-0.020622250247422768,0.006470103599940952,0.017515363321518124,-0.2321814764104784,-0.0014779569030455909,0.0009497001220512626,0.06890475003210748,0.034096775957909616,0.0649356969960196,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BL_pH8_0,-0.06293081071612465,-0.00997918715376569,0.008511456977980942,0.02097019550997926,-0.21755241309454576,-0.009798242095452934,-0.006758941214369691,0.059342572523240475,0.03496816010376357,0.06582762955971386,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BL_pH8_1,-0.05534596850913341,-0.02341229390616164,-0.0014571613990499266,0.019916387406461268,-0.21488989658835952,0.004557053231148292,-0.005108258250857824,0.060584937188086,0.026127557392110642,0.07162806413338883,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BL_pH8_2,-0.0483513124368113,-0.018998923616321838,-0.00011792815634575874,0.018452601265567154,-0.23258550268577644,-0.010996036242450708,-1.4142496308880215e-05,0.06912876868458548,0.037532015067079795,0.06855088131320056,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BL_pH9_0,-0.07369119313160848,-0.02118664942236374,0.007463166114428768,0.018694680922705195,-0.21532691024891717,-0.004374617095631747,-0.006579773129449913,0.06700236365178844,0.026665625190362332,0.0839337287387689,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BL_pH9_1,-0.05683998155650562,-0.007374949057424522,-0.0039383415116564105,0.021212379843320535,-0.19974281137667435,-0.007646352057952595,-0.009659753215863652,0.05759156066924333,0.032437380846265865,0.056561288091799486,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BL_pH9_2,-0.08640962970301345,-0.007239645922597013,0.004700104537136527,0.01670836645988343,-0.20712381673004968,-0.004199208525900281,-0.0010569167627102647,0.05753847540923111,0.041962282090123905,0.06772040988399608,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BT_pH4_0,-0.04747215629919717,-0.01864939767624373,0.005363038633140208,-0.02791710553204885,0.09541791316769693,0.005700132024029028,-0.0009014323062222936,0.04495675855235238,0.019585660784100376,-0.19348299027420582,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BT_pH4_1,-0.04244346933236913,-0.008482775649703712,0.005500953181889717,-0.025949514638835002,0.09398558981635649,0.0020727158204206985,0.00028666585420622823,0.03881975003882596,0.024972244863114917,-0.20616173688423534,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BT_pH4_2,-0.05641365855365344,-0.022408612128954536,0.009859724715554524,-0.031664838990318064,0.09892517088467014,-0.0007618182464300275,0.001132657560317413,0.04637185635348863,0.035886327641327743,-0.19832638668503771,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
BT_pH5_0,-0.043044025204954275,-0.02796165120727179,0.015894154894732587,-0.038958992012776424,0.0952893339474078,-0.0033582389530847283,-0.003432067338296252,0.04480818723267673,0.03233570641979737,-0.18424373201843677,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
BT_pH5_1,-0.048945179258108776,-0.027589575779502808,0.007037352619935642,-0.037698692123041215,0.0916146625707979,-0.0009350082551574563,-0.002333934884315923,0.059190510547841385,0.024463319358942304,-0.19788896494828487,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BT_pH5_2,-0.05045226187121285,-0.020600893208959505,0.0075204549535461095,-0.029857148609893476,0.09269770937364387,0.0037349978743283045,-0.006249032782836128,0.045961848973377566,0.031255949899837716,-0.1973585270322941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BT_pH6_0,-0.05962789581764651,-0.04437864613415593,0.03244798781512223,-0.06460768265588937,0.22138498399001752,0.026133785238691972,0.0225718128239817,0.08352514169097919,0.056244632679280704,0.04596257401832744,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BT_pH6_1,-0.06693316254096673,-0.01745190430250343,0.024916799873437583,-0.06729632752704555,0.25689147395972645,0.026944529600239,0.013220790233665507,0.08607085234769012,0.05599914476862583,0.1059015310711592,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
