Experiments,parc+_OD<--AC_OD,parc+_OD<--BA_OD,parc+_OD<--BC_OD,parc+_OD<--BL_OD,parc+_OD<--BT_OD,parc+_OD<--BV_OD,parc+_OD<--CC_OD,parc+_OD<--DF_OD,parc+_OD<--parc+_OD,parc+_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
7comm11parc_3,-0.04475295125628294,0.16998876712892372,-0.10456050606849404,0.06987402182234372,0.00028480129073495483,-0.04883429341018199,-0.09157403638505418,-0.06150196291830229,0.5443177047047926,0.14544868459682106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
7comm11parc_4,-0.03959156469320474,0.15966655706905805,-0.07906444914800967,0.06707941968641852,0.006675501240660323,-0.04770093114155789,-0.09016347704050333,-0.07835070187468894,0.5488798063183606,0.13126006908876742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5477367110758552
8comm11parc_1,-0.0471817389227774,0.12882218780724902,-0.07290291530120632,0.08183417844545582,0.008476703784064114,-0.057288155401854425,-0.07637972367684479,-0.013328794477426487,0.596685757798993,0.22711821864642523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_2,-0.049010527431964886,0.12377811682774968,-0.06147063139340152,0.08825719928287945,-0.0026040485063972573,-0.05479631976426941,-0.07740045792544668,0.010866760174217439,0.5965401587084582,0.20169546873025263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_3,-0.04363455306900585,0.12491158557488866,-0.07039778660011034,0.06772629478541405,-0.00307575794341771,-0.04202213382591373,-0.06846623809117337,-0.020457115317492378,0.6110151051989068,0.22025631798998163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
8comm11parc_4,-0.049241150928580245,0.12544748888391516,-0.0673807419917506,0.08799955358971721,-0.00030775761798671646,-0.05426874272687278,-0.07778985741021843,-0.0030462427097170145,0.5937297894789473,0.22071338013462397,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.8453285927693228
parc+_pH4_0,-0.0001378305288760574,-0.07308688561067635,0.014791010665180881,-0.007848475810302338,0.0009431463091269782,0.007012204197437872,0.015747475369792912,0.01789737832611022,0.2710312794845389,-0.29231662931163677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0032572508755295392
parc+_pH4_1,0.0007652076803471702,-0.07261739387298408,0.010668105667699932,-0.002880745633788729,0.00058035111135763,0.005393694632727166,0.013786263703975985,0.01605634595388952,0.28043482178093304,-0.29773177588277533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.004437627208196163
parc+_pH4_2,0.005070467848816646,-0.06505078405627739,0.01813612999151583,-0.009113683175781507,0.0012822192729167244,0.004334113939624765,0.016716663231668257,0.014212933309052298,0.27781725291000753,-0.30925868952403895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0011803763326671925
parc+_pH5_0,0.017708120908102264,-0.08272813084656776,0.037132032440732356,0.0049722742418879945,0.028244606274301587,0.01101505269013022,0.0526948738956581,0.034384280917761134,0.42807262386316836,-0.08288685905220718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08114687964645667
