Experiments,BC_OD<--AC_OD,BC_OD<--BA_OD,BC_OD<--BC_OD,BC_OD<--BL_OD,BC_OD<--BT_OD,BC_OD<--BV_OD,BC_OD<--CC_OD,BC_OD<--DF_OD,BC_OD<--wt_OD,BC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
wt_pH5_0,-0.009888250662580781,-0.024694570706266416,-0.03391621781756049,-0.007808152641291205,0.0012561561928495113,-0.0015807384220154392,-0.002846111413901267,0.02027690757551919,-0.006259713477414587,-0.015185330077681853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08114687964645667
wt_pH5_1,-0.00789063847421304,-0.023518392659075876,-0.035206105244224475,-0.007239036317104878,0.0021091626924665077,-0.000883872763294242,-0.002842100005110968,0.015347337818340112,-0.007164186440084292,-0.013358189050594103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11230826956373989
wt_pH5_2,-0.01225911330593669,-0.023353645905204442,-0.030928987685752952,-0.007983559578981088,0.0005209386202952132,0.0007205115971357919,0.0008464594136761583,0.018383761592533278,-0.008773223148739856,-0.01781916095348804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09911694942295314
wt_pH6_0,-0.007624442980665226,-0.026785355529383464,-0.0638073543119042,-0.011657414449297866,0.0004028453321560567,0.0002194460951115777,-6.981060232805127e-05,0.024493007849416007,-0.007507008116530336,0.011690066127997379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2884225051673924
wt_pH6_1,-0.012779592270760434,-0.023434537929361284,-0.06255281149369218,-0.012373040154900242,0.0031206906198159514,-0.0008130744439752215,-0.00022726477488227493,0.016767656427362693,-0.0055527697325400685,0.0171987230444084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29127362738877827
wt_pH6_2,-0.009640349697159684,-0.025106743877024756,-0.06173704396771348,-0.013834030579613603,0.0006987861398121578,0.0009106597433919488,-8.923079332579659e-06,0.01698069129301154,-0.006362431538493737,0.01745336367222278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2957269459022493
wt_pH7_0,-0.013680292928348414,-0.025604021489296268,-0.054596509505873136,-0.01827197691830604,0.004664631798539474,-0.006050224012654759,-0.004338907852121022,0.03344423600674971,-0.02258428474159345,0.026371330288441287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5922068579302491
wt_pH7_1,-0.0131935462290826,-0.021654348980797374,-0.0715519268681174,-0.012647805929831835,0.0063614508282879125,-0.0028546098311958115,-0.005781556895893553,0.0197098341891947,-0.007426553705464239,0.028393041894811646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5480973412378645
wt_pH7_2,-0.008589908200437606,-0.024049323819901637,-0.07496577421446209,-0.01083416584069314,0.004064251665511856,-0.0037977018045342497,-0.004412297795972096,0.02326652786977913,-0.005059306448244531,0.023731676999317563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5469120935714209
wt_pH8_0,-0.019535816209795685,-0.01601607470570699,-0.035781283994083826,-0.0232809464989797,-0.0007532787776511646,-0.0015522541818411455,-0.007368245176647021,0.021465850028654806,-0.011214879503392658,0.013390908576548096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8455353071301549
