Experiments,CC_OD<--AC_OD,CC_OD<--BA_OD,CC_OD<--BC_OD,CC_OD<--BL_OD,CC_OD<--BT_OD,CC_OD<--BV_OD,CC_OD<--CC_OD,CC_OD<--DF_OD,CC_OD<--wt_OD,CC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
BL_pH5_1,-0.010451658437959851,-0.0023589908187885,0.009530995673570863,0.011531797302481921,0.011085253794900263,-0.0008381919554212011,-0.05377915897609098,0.014835624246270926,0.004993709074738232,-0.04651400646822446,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
BL_pH5_2,-0.009413219239289424,-0.007130107355415415,0.009946914161049312,0.008891756532956725,0.011274504670114052,0.0003442522401557023,-0.047408234013760785,0.012619232789755032,0.006123743514003962,-0.04721346991268271,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
BL_pH6_0,-0.007558527537317864,-0.01662657863551589,0.016592705040643724,0.01235142154214175,0.012940528143460497,0.001957844082043385,-0.12784524002446515,0.0199305544787532,0.0107403238872876,0.01555234242443238,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
BL_pH6_1,-0.016375572256764153,-0.0071346071615572175,0.01774918345683862,0.013205944252726826,0.012863278462774243,0.006279551104500729,-0.14633506648444938,0.028864738880150505,0.005400705248441384,0.023517218415078738,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
BL_pH6_2,-0.010717410896854157,-0.011054095836943422,0.020797390298836906,0.013224627749751446,0.010966981292104995,0.0009563660465747762,-0.15600724494530144,0.02881776754369798,0.007457249326854135,0.03359374338437034,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
BL_pH7_0,-0.023561402818937184,0.004821129351368415,0.015091302158493228,0.016760323042778857,0.01716537662528698,0.0016071112772308143,-0.17992028708225524,0.03816637519792572,0.009528208146398159,0.03837723766838242,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
BL_pH7_1,-0.030485722878441705,0.008162637372784639,0.01475295823938011,0.018636659419407012,0.019613602566634022,0.0006438030586982896,-0.18492916755064434,0.03089326606476275,0.01680876567757324,0.04393857159651816,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
BL_pH7_2,-0.025306436419689465,0.006748406654527491,0.016617856322858563,0.016235214099287985,0.015555011864609855,0.002894564913990705,-0.17324508217811263,0.02864473200347477,0.010078953421958118,0.03981215279630344,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
BL_pH8_0,-0.022707984587785023,0.011742669564580706,0.012432472236029318,0.016826383332195487,0.023114589532918256,-3.425615404368061e-05,-0.16963534647188877,0.022899482231283484,0.01785146629731373,0.025545897975199572,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
BL_pH8_1,-0.02687725385033485,0.013579839263465662,0.010112698753971769,0.021251763630172473,0.022893015713906725,0.00028383266747645576,-0.1617771431903921,0.026801301008292838,0.006711326468047565,0.025055993562867942,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
BL_pH8_2,-0.03556000934529078,0.02224121004980786,0.013514233873245993,0.019803843080349586,0.017885884281713515,0.0004255040688440223,-0.1625685907079353,0.033800958526705435,0.011850704434935166,0.016641635610013392,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
BL_pH9_0,-0.03462610118136661,0.015516511021566617,0.012753446195173362,0.020732954314545443,0.015091897258939951,0.0022173889268837545,-0.1336059779305335,0.018624430639142903,0.011623194500318042,0.009707632997002374,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
BL_pH9_1,-0.05362510131575856,0.013188245940710538,0.01252925004273572,0.021380212805841275,0.024334172978845388,0.0008384195500579857,-0.1336007572159819,0.031363836580826705,0.01244311631049799,0.009183977675097791,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
BL_pH9_2,-0.0249966252268211,0.02295589454973157,0.008950960069246911,0.020573667056210655,0.01926312783657087,-0.0030703601917332914,-0.1441910575602062,0.028555652468171697,0.011152303711835135,-0.0011581886928204604,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BT_pH4_0,-0.007550012599626232,-0.00405972642014208,0.007750494480740439,-0.0037701627731060046,-0.00781595601619262,0.0015966847948932453,-0.0381916011084357,0.010915602516615764,0.005538496798228309,-0.02637844527054213,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
BT_pH4_1,-0.013688539974998842,0.0001347134339258732,0.006525832448640597,-0.005770262653392779,-0.008250175794869988,-0.001945001536413378,-0.03248188259181283,0.012252711470987972,0.00749742249654525,-0.026239442172581732,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
BT_pH4_2,-0.010647732535498621,-0.0005321806327075409,0.008566858159762847,-0.0023800002456561705,-0.008684395573547356,0.00238705435211001,-0.03926555224350127,0.010014832686106473,0.004327523363956614,-0.025751032290433577,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
