Experiments,pH<--AC_OD,pH<--BA_OD,pH<--BC_OD,pH<--BL_OD,pH<--BT_OD,pH<--BV_OD,pH<--CC_OD,pH<--DF_OD,pH<--wt_OD,pH<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
7comm11wtaTc_4,-0.24420824858724413,0.28850732157168835,0.007969374985474611,-0.014507621312918871,0.05874040518037003,-0.08352220243247956,-0.14247154894001454,-0.0365308544776686,0.0868296396335506,0.19510141546149612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
8comm11wtaTc_1,-0.258955096963631,0.3151144164897825,-0.003117631581490455,-0.014264512630584442,0.04917690728588596,-0.08130326335925774,-0.12572991273082468,-0.020948116747743408,0.08962803350599562,0.4034624445057757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_2,-0.2351523258439873,0.36492133617482103,-0.032180174789998836,-0.0011299650759800546,0.06526391804137308,-0.0790502970609004,-0.15722579769223285,-0.023797009098950942,0.05040290547372855,0.40101067731885803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_3,-0.25228589727988704,0.3478289983178612,-0.029349549232941613,-0.005246446846133983,0.0566450172873295,-0.08903735719864134,-0.13177981604538533,-0.027412170758875833,0.07786703524787139,0.4058334543766534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_4,-0.22263751028105616,0.3591754004999023,-0.04547127074197581,-0.012993507253249053,0.041059981901198625,-0.08930273916248395,-0.1490176648444132,-0.03415534912163148,0.08960521187471308,0.41680071469234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
wt_pH4_0,0.02801895261458729,-0.061051964023676894,-0.0017735280857785903,0.014542432612051131,-0.005169339927480276,0.008219615146517756,0.03283314935053171,0.01734344203996917,-0.002272360856118405,-0.3646317246264738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0032572508755295392
wt_pH4_1,0.03410415931969233,-0.07125283727584325,0.0037089201524529774,0.012632257475153256,-0.003574595061819194,0.01278813595114195,0.033362961359646004,0.0118987378704807,0.0016042572340887568,-0.37746540689031066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.004437627208196163
wt_pH4_2,0.028510358757136957,-0.07194277690966489,0.006270004173983699,0.0131986859060176,-0.004514095971117853,0.006406427689058633,0.03914180571132379,0.019292823200964405,0.0022066477410819215,-0.3747384643708559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0011803763326671925
wt_pH5_0,0.041854950552401335,-0.1054766793241319,0.007501399099988784,0.017796662289487276,-0.005954231114491177,0.008059768417607187,0.04322297923833779,0.02126904300616486,0.024321109073479542,-0.27940093076747397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08114687964645667
wt_pH5_1,0.03435281356310715,-0.11841775591201757,0.0045381535136181355,0.021481095761384652,-0.010202634721670463,-0.0015910554474786516,0.04699915823162251,0.022036568845581746,0.043461866266215614,-0.23928943349939322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11230826956373989
