Experiments,DF_OD<--AC_OD,DF_OD<--BA_OD,DF_OD<--BC_OD,DF_OD<--BL_OD,DF_OD<--BT_OD,DF_OD<--BV_OD,DF_OD<--CC_OD,DF_OD<--DF_OD,DF_OD<--wt_OD,DF_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
8comm11wtaTc_1,0.08881102432213399,-0.07147705901090218,0.003776557635030024,0.06855107156154903,-0.03540624649142441,0.03828322791210983,0.04420112913231487,0.1430410870731525,-0.34792886772881376,-0.06030851070647651,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_2,0.11656363352485326,-0.06987411356976495,0.0038951912263165364,0.05377541761035505,-0.02952070099666067,0.025489115624324144,0.03618157677190458,0.16311355240481054,-0.38003535282028744,-0.04804490607717763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_3,0.13753077688100548,-0.09547143629387668,0.0025437003487478156,0.08547129975064942,-0.023067056727798085,0.02124240772555704,0.01831809332351322,0.14339170046474622,-0.39685198588377746,-0.021564085890093572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_4,0.08270762476422218,-0.06085684260434429,0.022894681606279766,0.03238274096308842,-0.015262715204254441,0.031244008648006808,0.02960821860348401,0.13186516090093747,-0.34174185500196785,-0.04129760897677878,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
wt_pH4_0,-0.027792296982977704,0.004510097296341608,-0.00012591372203567855,-0.011486436996770943,0.013957509618738421,-0.011028491558264132,-0.0062542053959939795,-0.04552493304338144,-0.0263721584852623,-0.01833975910168627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0032572508755295392
wt_pH4_1,-0.022937951696955637,0.005641236796003322,-6.80311477702605e-05,-0.013985408688692942,0.01258896305185297,-0.012199801219546278,-0.005195552308274351,-0.04158707221888977,-0.015596204562031703,-0.035116765965586126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.004437627208196163
wt_pH4_2,-0.021395452229872994,0.00011835865514433901,0.0004127433734095611,-0.013939680826404819,0.0052374231799141215,-0.007982640047760113,-0.003655838980946852,-0.038110960874220605,-0.023099673351515894,-0.026040855681766627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0011803763326671925
wt_pH5_0,-0.022384983095461906,-0.0001522923973591436,0.004099233097032359,-0.023519455821293844,0.012529493612439735,-0.009989879414763139,-0.008026185926535857,-0.050022771492924376,-0.024307442945630652,-0.006682291845588579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08114687964645667
wt_pH5_1,-0.02919845894788918,0.008069142041646918,-0.001556349915006887,-0.029566210748060887,0.014451448489790375,-0.0045721622394478845,-0.010383029231882614,-0.0520214520232833,-0.032127680895121205,0.008448165710205619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11230826956373989
wt_pH5_2,-0.023844797711657446,-0.0063839108820842655,-0.0012200278805001917,-0.018545101649411345,0.013026443159450654,-0.006522210836410522,-0.002868713743012884,-0.05331069571816401,-0.02868740368796431,-0.00010016735157240921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09911694942295314
wt_pH6_0,-0.037898599962177495,0.014102316608895427,-0.004828657096494799,-0.020438647743152537,0.011944138307286342,-0.01032818444883046,-0.010703802330662373,-0.06725264031601993,-0.034157016478154965,0.031104505039427598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2884225051673924
wt_pH6_1,-0.03598870479218337,0.028849718395782556,-0.0009054553217214097,-0.03905546977468159,0.01632589853328207,-0.011885840847440389,-0.013152327830700769,-0.07139624422335107,-0.036923838246451776,0.03567567624475644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29127362738877827
