Experiments,BT_OD<--AC_OD,BT_OD<--BA_OD,BT_OD<--BC_OD,BT_OD<--BL_OD,BT_OD<--BT_OD,BT_OD<--BV_OD,BT_OD<--CC_OD,BT_OD<--DF_OD,BT_OD<--wt_OD,BT_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
wt_pH4_2,-0.01809003954105404,-0.012771540804482673,0.0025350076259802214,-0.007698576903051655,-0.033284518111740116,-0.001976656068683318,-0.001336407024696794,0.017769671772890117,-0.0200610142711388,-0.03754920753225199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0011803763326671925
wt_pH5_0,-0.02033304325588372,-0.020486472357752857,0.006350797539698364,-0.011213479975400412,-0.038821121495541025,0.0002594907834882966,0.0024949497243632436,0.02728853786040259,-0.02476861779760245,-0.03323432167627566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08114687964645667
wt_pH5_1,-0.02716268680179897,-0.016731453680878753,0.004094154706386768,-0.01575433660804739,-0.04596707759627505,-0.0004888079943054393,0.0027367482563156785,0.03754598773368027,-0.025390098572951617,-0.02534571171434515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11230826956373989
wt_pH5_2,-0.017132199812356547,-0.009812633628025652,0.0011965430606885453,-0.018667688229040285,-0.04002535143178766,-0.002357027690817158,-0.0035069232427960514,0.020157879345199987,-0.023578126175005158,-0.01873775325756034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09911694942295314
wt_pH6_0,-0.02419235669116935,-0.020461840986517134,0.00023242591718292843,-0.02074222064941474,-0.06874202279495481,0.0015679928761623476,0.003627418305360428,0.03958412994691373,-0.045019495569817394,0.02168268749429642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2884225051673924
wt_pH6_1,-0.020879520811343002,-0.016176569389948704,0.0026662119583267226,-0.018953763863638694,-0.072031148723934,-0.002720276460092029,-0.0008282407960328072,0.03588808059489921,-0.0393791241214975,0.01995107003143462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29127362738877827
wt_pH6_2,-0.01966843630288444,-0.017174907027055385,0.0027157315421525545,-0.01530079145753837,-0.06713206942112225,-0.00037382193436117246,-0.0007488610125754203,0.014735984364929405,-0.031652351203779495,0.022136241608177832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2957269459022493
wt_pH7_0,-0.03303259267775423,-0.004325992438496779,5.463834770995704e-05,-0.017394747072020947,-0.05614353086941105,-0.011910213101655244,-0.001682647779259994,0.03174503562324073,-0.056717291932310086,0.03694406083845736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5922068579302491
wt_pH7_1,-0.02487779711170688,-0.01667943551488545,0.0028601667892349807,-0.016472852670628094,-0.06933781148339417,-0.00414214032681902,-0.0056881751925886995,0.034038301569045235,-0.0451061959726655,0.03294265832407804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5480973412378645
wt_pH7_2,-0.03437301497562261,-0.007883597178911066,-0.0020135814518384325,-0.01977502284207098,-0.06277399174059214,-0.007626929319787609,-0.002631722213700414,0.045546960876039835,-0.04793318184031903,0.02700079976338083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5469120935714209
wt_pH8_0,-0.03464226304836895,-0.010418757944894224,-0.0002170554099037593,-0.02081266188346173,-0.057704342081535444,-0.0064224343665915985,-0.0030485217775339667,0.03259508697255313,-0.036075814393875395,0.024283481783678992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8455353071301549
