Experiments,BA_OD<--AC_OD,BA_OD<--BA_OD,BA_OD<--BC_OD,BA_OD<--BL_OD,BA_OD<--BT_OD,BA_OD<--BV_OD,BA_OD<--CC_OD,BA_OD<--DF_OD,BA_OD<--wt_OD,BA_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
8comm11wtaTc_3,0.20747633699570667,0.2963956031980722,-0.010763702475992237,0.06434536051167095,-0.08992057655492554,0.023191500742636314,0.014614353015532959,-0.10995252010857928,-0.6670339955081761,0.08852759370256379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_4,0.22821095865057858,0.18852727043806852,-0.01450276787028364,0.06506047216122568,-0.0824635793365862,0.017673949375748635,0.03144089196849128,-0.06802681573545154,-0.5830071674408799,0.03396674130759808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
wt_pH4_0,-0.03455839918926358,-0.05125529094153771,0.005480472465734116,-0.007277899343196464,0.01860689216414871,-0.006232945210421864,-0.0014080451631351663,0.020458999396018362,-0.04145019969457517,-0.05423029548448064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0032572508755295392
wt_pH4_1,-0.03894354713108877,-0.06973755065918616,0.00824467615345898,-0.01139035253826043,0.01723129543597284,-0.004160612754361783,-0.0012912497167354054,0.01234737440538795,-0.019763142281900282,-0.04440360243877639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.004437627208196163
wt_pH4_2,-0.03076902245697767,-0.06530097245360197,0.005584415449234453,-0.01319066874196996,0.01852657085689514,-0.0063029154114749115,-0.0010855582032514653,0.012391001471196827,-0.046409170530412505,-0.02531038440116073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0011803763326671925
wt_pH5_0,-0.03888650615173189,-0.08549506194565608,0.008402074591621112,-0.010153313197357497,0.01909362075202491,-0.010010238047689198,-0.003999537244925033,0.02047813858350982,-0.0401946959733639,-0.011101185758800609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08114687964645667
wt_pH5_1,-0.04011783268626619,-0.09837566757169756,0.009655088132004374,-0.015381294254051601,0.01963855770780988,-0.0032652611139675834,-0.002755604998573011,0.021149996703733572,-0.041320348974803224,-0.0010943439295110489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11230826956373989
wt_pH5_2,-0.024296345404632717,-0.10084298083396709,0.008250921958166619,-0.009312626993202644,0.013377048557057333,-0.005204391900611958,-0.0024326621570988846,0.0193664029839894,-0.04340265696544363,-0.007369417865639148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09911694942295314
wt_pH6_0,-0.04758833928519617,-0.09204709244163144,0.00913544152660862,-0.024725174803448765,0.030327796588611355,-0.009166523795574904,-0.0050617768259152126,0.028989063598539522,-0.07898358570735739,0.03725348041514339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2884225051673924
wt_pH6_1,-0.04657688907793034,-0.10951064521284859,0.011114877830866888,-0.022621517583079957,0.02634325970855096,-0.007667110118529071,-0.006675424011343201,0.025610791269041918,-0.05392946472310501,0.03204541065365723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29127362738877827
wt_pH6_2,-0.050510499122674045,-0.1004916774805473,0.008678366727317158,-0.021265526768629965,0.03382370986449329,-0.006649887302647465,-0.006399640691183182,0.023522059670447005,-0.072774702138065,0.0402010929438731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2957269459022493
wt_pH7_0,-0.04528857331965929,-0.0811316664646501,0.0030502734835381076,-0.01607281117578564,0.025369797846221398,-0.013933411547509225,-0.009797762582969407,0.038024363948599156,-0.08550131641814242,0.033414397608974696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5922068579302491
wt_pH7_1,-0.04492308104653721,-0.08084420776480566,0.0062538290428726575,-0.01690846890535044,0.023161559288754408,-0.01349650721916038,-0.006360651444967675,0.02831290563082566,-0.08046068825880473,0.03339860620301055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5480973412378645
wt_pH7_2,-0.06053627113609211,-0.10385232906464648,0.007666609057265779,-0.022169168606076543,0.042515379214740315,-0.01383143448797257,-0.010552440153677825,0.03307091074145359,-0.06736685938728244,0.04318890016283031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5469120935714209
wt_pH8_0,-0.06748104338736638,-0.09061281415512379,0.0022960811586159716,-0.016209035368393295,0.026637945290978838,-0.008492222038786046,-0.007131731387875651,0.027659533447383543,-0.05306173919092703,0.0345283146234958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8455353071301549
wt_pH8_1,-0.045153434833754676,-0.05592805577037126,0.0018435731198152786,-0.012408233613747616,0.027111805808608946,-0.004674071223353562,-0.008957904453348856,0.018590442122000717,-0.09118805861424492,0.018897228837013245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8378107178569503
wt_pH8_2,-0.052098364321433985,-0.06667523552866085,0.0049860953013210205,-0.01880870730089753,0.01787017181596678,-0.009421323396103538,0.0011823059521291561,0.01844838909885806,-0.06162215709605295,0.014272114599690489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8442380625189879
wt_pH9_0,-0.04226659379089656,-0.08072622418079685,0.004390088326257209,-0.016226805520608373,0.028892333207085077,-0.007994203667115904,-0.002470869277806387,0.01709110069938976,-0.07073447682044429,0.018178942403553618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.003926186226973
wt_pH9_1,-0.02900360630825162,-0.09559796658223087,0.004554404832584702,-0.017605303891165103,0.022396639085820187,-0.008304694099756687,-0.004286735839331927,0.023020714504401317,-0.06090407495913299,0.013863914635680293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9964236708955914
wt_pH9_2,-0.05279346060979625,-0.06350416178369651,0.0049240894202628865,-0.014818793399178458,0.012016169805403636,-0.009736039886332074,-0.0027455702043421883,0.02287949716348363,-0.061980482056413,0.013892047308061439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9996501428774356
AC_pH4_0,0.027633564784798934,-0.12552026871105895,0.007286853949012964,-0.01702918913701306,0.026085582647634584,-0.012680816844753596,-0.0021099207469302693,0.019358394019629646,0.03561450615849184,-0.11050541135522983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.03397638671829001,-0.12562925124459942,0.0030264922603964804,-0.020882029510710557,0.02478379436161207,-0.013322048812456758,0.00082088115584591,0.03753260702137715,0.03769570988724413,-0.1298692503053209,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.03609574003711991,-0.14710432536981025,0.0026351965753280567,-0.016876450388327892,0.02986130286332057,-0.017955143740805594,-0.005159141414839289,0.02290188074354892,0.04418893381710287,-0.10045470153750935,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.035616205657791826,-0.17521938868109946,0.0057290801405906686,-0.01731415142183718,0.03336653878669377,-0.02084451884031296,-0.003638318476631592,0.0391612476069966,0.04954429835809961,-0.09826770218575129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,0.03652277391484898,-0.14912902543240267,0.00307818654924631,-0.015415971097738847,0.03384156235372242,-0.019194423914279623,-0.004298490397632125,0.03036541848888864,0.03813484235302261,-0.10577157862970363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,0.03313596428007535,-0.1665875131094261,0.004966018779770187,-0.010306545179337262,0.03334140847720529,-0.015798235263513486,-0.0061505939949141894,0.028077911078605963,0.03510207418838273,-0.08764719480000761,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
AC_pH6_0,0.04370015579478248,-0.27100038842743507,0.009429656980640213,-0.01666559076503567,0.03682333415779083,-0.017586350738192383,-0.0022483488690593968,0.03406227575534063,0.048842152550654556,-0.017223601413323825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687662413934
AC_pH6_1,0.049713914423533116,-0.31401299851987013,0.010319951425266006,-0.027845261254874264,0.04084241708092715,-0.022294213521577736,-0.006634337195073781,0.046402851002209866,0.05308837219586839,0.018552600929270614,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567479932488
AC_pH6_2,0.04807502901829455,-0.30969458318274956,0.011722967069110145,-0.023026183795021925,0.045268423995408036,-0.0239684715292052,-0.00420692222921745,0.036795582563980765,0.05615320826759156,0.011014246201223654,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393008372077
AC_pH7_0,0.06719044737517836,-0.4164737221493344,0.009150877669453623,-0.03747682453578582,0.04690204208068874,-0.024025044892307206,-0.01728697911876699,0.06323610568743035,0.06164995919265177,0.0952664303301793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761566893788473
AC_pH7_1,0.06131336861330531,-0.4257880827970802,0.005680516332225949,-0.040788502943418584,0.07062669028730496,-0.03077835266923774,-0.01622531635119864,0.07238619002149156,0.05689009363317618,0.09481668736866636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48226683949395216
AC_pH7_2,0.05979316913806226,-0.3921598571789977,0.0013697275292614227,-0.03424873126751703,0.04801044150377098,-0.026824160526790042,-0.006008422785317123,0.05217239234839446,0.06562428950858505,0.08040444669435208,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811025384560845
AC_pH8_0,0.06598671912904021,-0.45125555433251924,0.00742329355653213,-0.03206085124255522,0.05541817674089386,-0.024451599953615136,-0.006546474405280919,0.08291212351992726,0.06587236551972833,0.08483509703417835,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161936979692529
AC_pH8_1,0.05664976190937603,-0.425103045799972,0.0037564439828629064,-0.037610088570610344,0.053867121002758325,-0.03158665614202619,-0.015658852396451907,0.06050636456550463,0.07573607157672876,0.10757617592325679,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417698578516113
AC_pH8_2,0.0645161034361176,-0.4235599361700207,0.005063453860904851,-0.0445722686442668,0.06793685871297898,-0.03902959990274648,-0.01703752182505053,0.06789105101124102,0.07824627833116962,0.08867887571535031,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440713470669853
AC_pH9_0,0.07069163792321217,-0.4389603807096897,0.00674987088969868,-0.034886016814119146,0.05655764716474904,-0.027211235569709023,-0.01512581586756783,0.0680031463916859,0.07652448467424382,0.08578995747410734,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292859280132171
AC_pH9_1,0.07541225841187915,-0.43971193976619316,0.0018852595750080492,-0.03620274863246343,0.050831894584647985,-0.0292310967263968,-0.011709536224117745,0.08614782110261529,0.06676371851126137,0.08394766406196615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412574926289346
AC_pH9_2,0.062059403633617845,-0.42975165988035174,0.0036369604155745165,-0.033113452575129015,0.04639442028558773,-0.030622260270073358,-0.008780708420697763,0.06233346491404202,0.0728204498861147,0.10315667736303548,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747526246417331
BA_pH4_0,-0.11443969463443626,0.140798429283111,0.01253247002463626,-0.032932825870002104,0.04454841940137356,-0.020703883869168552,-0.01032627515170885,0.02781889129187103,0.04993853304535152,-0.23676569521427157,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139574737368786
BA_pH4_1,-0.10383242397852566,0.13015826685111162,0.01353052349923098,-0.02995858967385215,0.037119373241034544,-0.015294186157862776,-0.012205699461147839,0.02117220387996539,0.03864135673431599,-0.21664344325013782,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048452299554619434
BA_pH4_2,-0.11819949038002801,0.1325221296901936,0.01232884692918995,-0.027827053514673652,0.036889829017707855,-0.018504975652727088,-0.012755399394132519,0.02717188104987146,0.04594858078690975,-0.21351307969378389,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744598294293093
BA_pH5_0,-0.13498878239613513,0.15472046281899454,0.011458881821321402,-0.030904870658465044,0.04189409779384733,-0.0249196318877132,-0.02193072345674686,0.04449076132929845,0.03248281683853787,-0.16011697860110718,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511412745403946
BA_pH5_1,-0.11070767164878224,0.14152031048322503,0.01527409403868343,-0.029463618005747386,0.03707763849393182,-0.020304333259068094,-0.014844658910904238,0.03376750872591915,0.038360589649528265,-0.2042759046987023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024466462930343342
BA_pH5_2,-0.12091513715036538,0.14814138787353173,0.014686765550919204,-0.03471595948076117,0.0400368512575717,-0.024616134289004235,-0.01826120494824388,0.041381298286597354,0.041988352380045085,-0.18664275821055404,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934321135483189
BA_pH6_0,-0.17768806135524873,0.2912234607751925,0.0327798742290748,-0.04611654933622998,0.05426843601400435,-0.027886248882050105,-0.03040481015472956,0.09353592354399357,0.0616773078938865,0.0910862261639989,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16172687666300212
BA_pH6_1,-0.21900264780158576,0.3079094936925432,0.024577884095842422,-0.06280049647973932,0.07097153331922446,-0.03150075909479156,-0.030905773132715537,0.11177806404621708,0.07752794396780105,0.12728860574976905,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20214567404454245
BA_pH6_2,-0.19852086964913684,0.3088087171842546,0.024393316384242934,-0.05251271368044875,0.06129574694954182,-0.028356363345747402,-0.02669113679343591,0.09095675830364876,0.07168870143916295,0.1246710653497797,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208393160174653
BA_pH7_0,-0.3125468986197982,0.2939278746039971,0.01981092323022692,-0.07249902936832411,0.10312475937864055,-0.037766477221056166,-0.05926378403020943,0.10485575682929028,0.09267065039957345,0.16542200057807827,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47615668850189524
