Experiments,wt_OD<--AC_OD,wt_OD<--BA_OD,wt_OD<--BC_OD,wt_OD<--BL_OD,wt_OD<--BT_OD,wt_OD<--BV_OD,wt_OD<--CC_OD,wt_OD<--DF_OD,wt_OD<--wt_OD,wt_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
7comm11wtaTc_3,-0.020502789898411096,0.20280968681139785,-0.05428696081771152,0.034388849120992035,0.004684048466708349,-0.032958335350065114,-0.07508838858131481,-0.12277915045861966,0.5503755612088285,0.1686160632971998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
7comm11wtaTc_4,-0.03522356600176706,0.20391846881531506,-0.0553348145229013,0.03799150791343139,0.008240334520359403,-0.02815222094078425,-0.07106509805535491,-0.11705280234753761,0.5571754391207967,0.1547613352974472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5477367110758552
8comm11wtaTc_1,-0.0427743450940951,0.18746648529665952,-0.05150900344809759,0.05650629696638686,0.007994197992526963,-0.040141363456926274,-0.06696193384249571,-0.06913730142354642,0.6117513863884075,0.24411510779481868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_2,-0.0393083701926567,0.18039605040832055,-0.05087666124105454,0.05512498963381283,0.009797827895811722,-0.05413546845964762,-0.06525064440444113,-0.07326155675899074,0.6280366381265872,0.24678672216589687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_3,-0.04378117651881084,0.19014105568154024,-0.044766651854,0.06863554013771529,0.004765612784287198,-0.04437072784396941,-0.07378638365022515,-0.06481105170091209,0.5837897626845087,0.2614935474535045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
8comm11wtaTc_4,-0.04645175897556802,0.19962590719816156,-0.040786838501529844,0.040619405173980036,0.015386814159219676,-0.04162469280478747,-0.06867805431880378,-0.06339594992161122,0.6048680109198651,0.2377466842447124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8453285927693228
wt_pH4_0,-0.002212958122077195,-0.040115045602635846,0.00912646852433682,-0.004881570316527205,0.003217477861629881,0.003357895755654442,0.011763736643706977,0.016560965927074782,0.23111564626512313,-0.2668534041366176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0032572508755295392
wt_pH4_1,0.00046137281976964007,-0.042900236995242855,0.007438508581532085,-0.004201385752986307,0.0005806915097586436,0.004053498523147857,0.014178788055787268,0.019839591051897282,0.22126311096808188,-0.27070888898173434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.004437627208196163
wt_pH4_2,0.0018603291621674641,-0.04722634224788002,0.010434929759282133,-0.004751704510139384,0.0014538427628576743,0.006245570949319268,0.01508563388017532,0.0189638774242738,0.22478069926733557,-0.26875658125495133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0011803763326671925
wt_pH5_0,0.0011429929575356467,-0.06396500062683354,0.01583836911975042,0.0019427255217147924,0.0005718734423103541,0.0031149098916870123,0.022563987366207277,0.021781352330809058,0.27294675865129614,-0.2010006229611843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08114687964645667
wt_pH5_1,-0.0013830593131158677,-0.07635175929080859,0.015850113405157688,-0.0027727052213057223,-0.00010139029311097371,-0.003273423027814085,0.02296173474994366,0.030575477676871042,0.2960240007515834,-0.1677450758101338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11230826956373989
wt_pH5_2,0.0012020055010266981,-0.07520247525333064,0.01819323686315961,0.003307335876414306,-0.001181415364794113,-0.0012889751690723296,0.024847364179871004,0.023402959767567073,0.2867595856511236,-0.1835114020987859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09911694942295314
