Experiments,BL_OD<--AC_OD,BL_OD<--BA_OD,BL_OD<--BC_OD,BL_OD<--BL_OD,BL_OD<--BT_OD,BL_OD<--BV_OD,BL_OD<--CC_OD,BL_OD<--DF_OD,BL_OD<--wt_OD,BL_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
wt_pH4_2,-0.03784208948562001,0.04367549416649601,-0.003920293195254129,-0.06028767823970512,0.017853954340047808,-0.009916100788699544,-0.008958943532779812,-0.008061328365912905,-0.021772836202188683,-0.04193008085631806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0011803763326671925
wt_pH5_0,-0.03178473114886361,0.04208456466865281,-0.003896534923140122,-0.06595870696170175,0.016955692435250337,-0.013067268728400057,-0.014744489346833334,-0.00973179555943479,-0.03601119876150851,-0.015005433853391717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08114687964645667
wt_pH5_1,-0.03399787241026111,0.03453828430734574,-0.003961407908278964,-0.07166761946257041,0.02048603646052272,-0.015141680083925956,-0.012739857780625643,-0.008897839486194048,-0.036648477243016606,-0.003129483305079782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11230826956373989
wt_pH5_2,-0.03394089578205477,0.026656168556326753,-0.005559782309700612,-0.06990417156611448,0.014316590611377486,-0.010856725458946564,-0.0124038591571962,-0.006339146937041179,-0.02660414708089893,-0.006523947395870219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09911694942295314
wt_pH6_0,-0.06041974969127256,0.06435678288866967,-0.008945743407568204,-0.12401895896410169,0.01944460900905339,-0.013287306803319118,-0.01924534051193167,-0.013465328129089404,-0.042657740664384936,0.0670788592128488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2884225051673924
wt_pH6_1,-0.0500385687880866,0.062002863230426676,0.00015940040916852474,-0.11685708917596417,0.01804011849403058,-0.02083776758416839,-0.020498076852653986,-0.009537869216874243,-0.04562848118862705,0.05203555376714338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29127362738877827
wt_pH6_2,-0.04160392889591014,0.06841015650931262,-0.00560420167591909,-0.12497531762670563,0.01828266331156635,-0.023881392938125398,-0.015669679791950015,-0.007355678210682845,-0.04124063529843546,0.04247811312746742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2957269459022493
wt_pH7_0,-0.06288139609417515,0.04735251632802511,-0.005452188454244447,-0.058148543973979734,0.030536647057160745,-0.01845212384896434,-0.02713868429357915,-0.0018354579369011142,-0.050838771684743135,0.0156980863812825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5922068579302491
wt_pH7_1,-0.04946129011516661,0.04335628858079081,-0.008236229037056154,-0.07181524264828666,0.02425588256557999,-0.017937525908827134,-0.01612320247632654,-0.005220949353407259,-0.04459111306532893,0.01461347942766936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5480973412378645
wt_pH7_2,-0.0481851617615346,0.061728588470622237,-0.00594994815795318,-0.08364985040753431,0.017796896576638455,-0.02978474714347849,-0.026264542427885795,-0.0048057715963248345,-0.03212085069481122,0.02007548537753199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5469120935714209
