Experiments,AC_OD<--AC_OD,AC_OD<--BA_OD,AC_OD<--BC_OD,AC_OD<--BL_OD,AC_OD<--BT_OD,AC_OD<--BV_OD,AC_OD<--CC_OD,AC_OD<--DF_OD,AC_OD<--wt_OD,AC_OD<--pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD,pH
wt_pH8_1,-0.0655550543607577,-0.012982074943897515,0.00691085644228303,-0.0048757161021880475,-0.0006118071516570839,0.009894107602860615,0.006951912924971268,0.00851910344608452,-0.029255441637790716,0.022204575763772365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8378107178569503
wt_pH8_2,-0.06994920025701108,-0.015723208789916142,0.008635792680408642,-0.006273990263757498,0.001621423985647118,0.008829215897814087,0.006990392413800178,0.009404837727222752,-0.029148895146082276,0.026814092728106875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8442380625189879
wt_pH9_0,-0.06867588009523307,-0.01755554032390532,0.01037497062560009,-0.005425401621538659,0.0026336683996993552,0.0114564401510617,0.005518505126237872,0.01929880624717992,-0.054975181435761244,0.038550074910340106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.003926186226973
wt_pH9_1,-0.06805292716978684,-0.017701964174275806,0.007764328541639059,-0.0024038403756592584,-0.0002935424042136768,0.012509159264357195,0.006351912441137043,0.007114745454619761,-0.03690905015591694,0.0328216405617802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9964236708955914
wt_pH9_2,-0.07146735498114772,-0.013126760766558025,0.008069874454775583,-0.007675503095530947,0.002795231138234553,0.012262015705523283,0.006445005574952,0.009915404734404191,-0.046952372185238025,0.040934917264334535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9996501428774356
AC_pH4_0,0.1367993785052196,-0.028418362393327387,0.011535468569592288,-0.01748532841387002,0.008626420557822869,0.013482011929154398,0.015958376079797745,0.01313880710336177,0.012567991904266497,-0.22500430400928717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016139570379183382
AC_pH4_1,0.13214840074596196,-0.03610720454998637,0.01831238273531198,-0.021298911049962038,0.005616047759742842,0.0187824610636934,0.022164593821634417,0.015749589802454347,0.019459399728347423,-0.23362629861449416,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004845233155374915
AC_pH4_2,0.13841609499376753,-0.029416307675773686,0.016810024907083613,-0.023290457602428354,0.008651521594628045,0.01736860579284637,0.017916342284044495,0.01749328613443219,0.01406821204430383,-0.23681686109174846,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001874459798070219
AC_pH5_0,0.12676893984817938,-0.03159800850502823,0.01603526631127233,-0.019063098229791808,0.0027215009425645316,0.018054169818111088,0.017300419352300783,0.017123417987123777,0.016361643667130367,-0.2225037894802897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114127579932972
AC_pH5_1,0.14433526672746824,-0.03417041235157977,0.018390548256752282,-0.020566101738292236,0.002531143434993599,0.0143611531947618,0.016153456788995987,0.017243080884218213,0.007351095914516761,-0.22442877188486904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446646428818786
AC_pH5_2,0.1336832090936925,-0.03464674666199994,0.018838759717410024,-0.02488886282981738,0.005711252162961853,0.018664891050885552,0.019971628806189353,0.019498144987484686,0.021982940211892118,-0.23761475653104155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039343210450552515
