Experiments,Time,pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD
6comm11wtaTc_2,24,6.740513797,0.135039942671913,0.0815516527681177,0.612356969167661,0.0230263490168803,0.414714140106105,0.1386378097058,0.397444378343445,0.633944171370986,1.34296383484909,0.0,0.0,0.0
6comm11wtaTc_3,0,5.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
6comm11wtaTc_3,3,6.452079335,0.0128477676996805,0.0091297641853035,0.0365603678913738,0.0156569259105431,0.0342056323322683,0.0080556742811501,0.0130543234504792,0.0263978249520766,0.257864199297125,0.0,0.0,0.0
6comm11wtaTc_3,6,5.84928289,0.208690009239982,0.105877441269951,0.155194038914112,0.0298128584628545,0.147671168087036,0.0055724969089447,0.107827815188081,0.109499564260765,1.55639838666827,0.0,0.0,0.0
6comm11wtaTc_3,9,5.466979933,0.384499981422666,0.297971753197434,0.365621095264433,0.0723690636065573,0.352720523056308,0.0210814228766928,0.302691474736992,0.321255712792587,2.29630185304633,0.0,0.0,0.0
6comm11wtaTc_3,12,5.43477296,0.184543159970757,0.0985742835362924,0.354716155845431,0.0415978434360313,0.302277662301828,0.103364338234987,0.27504998296188,0.337572802186945,1.68181341552585,0.0,0.0,0.0
6comm11wtaTc_3,24,6.68926366,0.124881941256919,0.127404808757059,0.473668373151244,0.0319563216684372,0.309892224600503,0.106801390839251,0.366026026478613,0.559866346072687,1.65962633717529,0.0,0.0,0.0
6comm11wtaTc_4,0,5.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
6comm11wtaTc_4,3,6.472575636,0.013074151488778,0.0084634603840399,0.0411172590299251,0.0181269636583541,0.0363170874688279,0.0117477882942643,0.0141478740748129,0.0342328024488778,0.20268092815212,0.0,0.0,0.0
6comm11wtaTc_4,6,5.885388316,0.239392556571671,0.0806153558001235,0.141602624970652,0.0336481485078776,0.142303628064566,0.0042060185634847,0.124778550716713,0.112510996573216,1.3900891352317,0.0,0.0,0.0
