Experiments,Time,pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD
7comm11wtaTc_3,24,7.798603736,0.2591110393820320,0.0066490391132247,0.4656342239594680,0.0151114525300563,0.5873317883348550,0.1269362012524730,0.0020148603373408,0.0006044581012022,2.508501119989350,0.0,0.0,0.0
7comm11wtaTc_4,0,6.72,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
7comm11wtaTc_4,3,7.202977349,0.013761460085782,0.0043498868087242,0.0288674306397152,0.0064061969364847,0.0279183644269027,0.0140778154900529,0.0091743067238547,0.0215121674904179,0.3072601863980650,0.0,0.0,0.0
7comm11wtaTc_4,6,6.566804419,0.1520474856287620,0.019380863115047,0.1405112575840910,0.006691012265909,0.1795037083750780,0.002768694730721,0.0290712946725705,0.0256104262591692,2.388460654368650,0.0,0.0,0.0
7comm11wtaTc_4,9,5.862807546,0.3176195966065240,0.0275711455387607,0.6341363473914970,0.0136017651324553,0.751773235023543,0.0297768371818616,0.0080875360247031,0.0124989193109048,3.59196884078975,0.0,0.0,0.0
7comm11wtaTc_4,12,6.352886922,0.0692148843712765,0.0235386651303126,0.5416695202011240,0.0170935544398699,0.5828621841791710,0.0787424393049745,0.0044835552629166,0.0086868883219011,2.4648345057884500,0.0,0.0,0.0
7comm11wtaTc_4,24,7.813148046,0.2718587652581550,0.0061973882657634,0.4584001520576340,0.0111552988783741,0.5534267721326730,0.1293188351455970,0.0010328980442939,0.0016526368708702,2.5312199473466400,0.0,0.0,0.0
8comm11wtaTc_1,0,7.65,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
8comm11wtaTc_1,3,7.379628386,0.010321800287856,0.0044918945697151,0.0166295671304347,0.0040140334452773,0.020452456125937,0.0075502057661169,0.0071679168665667,0.019592306101949,0.5472465597061470,0.0,0.0,0.0
8comm11wtaTc_1,6,6.577662899,0.1960215946415930,0.0097153560026445,0.164303814750606,0.0065721525900242,0.2088801540568570,0.0060006610604569,0.0057149152956732,0.0128585594152648,3.279789888186880,0.0,0.0,0.0
8comm11wtaTc_1,9,6.441442442,0.3514987377491150,0.0034744521029566,0.3810315806242460,0.007527979556406,0.534486548504832,0.0069489042059133,0.0052116781544349,0.0069489042059133,4.754787702896180,0.0,0.0,0.0
8comm11wtaTc_1,12,7.343546492,0.1137528561043810,0.0035980222125473,0.27400323003245,0.0071960444250946,0.3476242999199570,0.007749586303948,0.003874793151974,0.0013838546971335,3.334813049152520,0.0,0.0,0.0
8comm11wtaTc_1,24,7.836239741,0.3026126244341320,0.0009889301452095,0.2330578708877250,0.0056039374895209,0.2732743634595810,0.0019778602904191,0.0003296433817365,0.000659286763473,2.924925726148200,0.0,0.0,0.0
8comm11wtaTc_2,0,7.65,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
8comm11wtaTc_2,3,7.427085494,0.0133465358763329,0.0031174390368077,0.018217534371345,0.0043838986455108,0.0137362157559339,0.0061374581037151,0.004481318615411,0.0161717150034399,0.4868075895915030,0.0,0.0,0.0
8comm11wtaTc_2,6,6.661044193,0.223983548211576,0.0095361635271802,0.1342040574434880,0.0032562509605005,0.1693250499460310,0.003488840314822,0.0069776806296441,0.0102339315901447,3.007380351376610,0.0,0.0,0.0
8comm11wtaTc_2,9,6.409523443,0.6163470850192940,0.0030213092402906,0.3182445733106160,0.0060426184805813,0.4662887260848580,0.0070497215606781,0.0060426184805813,0.003524860780339,4.602461076042760,0.0,0.0,0.0
8comm11wtaTc_2,12,7.230092592,0.1164874281754180,0.0034030035197313,0.2879464516695730,0.0083766240485694,0.3518182100399150,0.0026176950151779,0.0034030035197313,0.0010470780060711,3.277877698005810,0.0,0.0,0.0
