Experiments,Time,pH,AC_OD,BA_OD,BC_OD,BL_OD,BT_OD,BV_OD,CC_OD,DF_OD,wt_OD,delarc_OD,parc-_OD,parc+_OD
AC_pH5_1,24,5.114093,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH5_2,0,5.13122697,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH5_2,3,5.096602,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH5_2,6,5.104421,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH5_2,9,5.123655,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH5_2,12,5.136862,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH5_2,24,5.12934,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH6_0,0,5.51368636,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH6_0,3,5.879993,0.046036,0,0,0,0,0,0,0,0,0,0,0
AC_pH6_0,6,5.862808,0.053191,0,0,0,0,0,0,0,0,0,0,0
AC_pH6_0,9,5.896076,0.065115,0,0,0,0,0,0,0,0,0,0,0
AC_pH6_0,12,5.88462,0.060345,0,0,0,0,0,0,0,0,0,0,0
AC_pH6_0,24,5.155376,3.788265,0,0,0,0,0,0,0,0,0,0,0
AC_pH6_1,0,5.63999855,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH6_1,3,5.869881,0.049852,0,0,0,0,0,0,0,0,0,0,0
AC_pH6_1,6,5.855675,0.064638,0,0,0,0,0,0,0,0,0,0,0
AC_pH6_1,9,5.878445,0.099456,0,0,0,0,0,0,0,0,0,0,0
AC_pH6_1,12,5.839603,0.339367,0,0,0,0,0,0,0,0,0,0,0
AC_pH6_1,24,5.123655,4.1436,0,0,0,0,0,0,0,0,0,0,0
AC_pH6_2,0,5.60855474,0.01,0,0,0,0,0,0,0,0,0,0,0
AC_pH6_2,3,5.825697,0.063684,0,0,0,0,0,0,0,0,0,0,0
AC_pH6_2,6,5.858059,0.084193,0,0,0,0,0,0,0,0,0,0,0
AC_pH6_2,9,5.838792,0.293102,0,0,0,0,0,0,0,0,0,0,0
